R,oo
1,5
2,4
3,9
4,5
5,3
6,4
7,4
8,5
9,5
10,9
11,3
12,5
13,3
14,2
15,3
16,2
17,5
18,2
19,9
20,2
21,4
22,2
23,5
24,9
25,9
26,5
27,5
28,3
29,9
30,2
31,5
32,5
33,9
34,2
35,4
36,9
37,4
38,3
39,9
40,9
41,3
42,5
43,5
44,5
45,9
46,5
47,2
48,2
49,2
50,5
51,9
52,9
53,3
54,5
55,2
56,5
57,9
58,3
59,3
60,2
61,9
62,4
63,9
64,5
65,2
66,2
67,9
68,9
69,3
70,3
71,3
72,5
73,9
74,2
75,5
76,9
77,3
78,5
79,9
80,3
81,9
82,5
83,9
84,5
85,3
86,5
87,5
88,5
89,3
90,2
91,3
92,9
93,2
94,5
95,3
96,2
97,3
98,3
99,3
100,2
101,5
102,5
103,5
104,2
105,3
106,5
107,2
108,2
109,2
110,5
111,9
112,5
113,5
114,5
115,5
116,2
117,3
118,5
119,9
120,9
121,5
122,2
123,1
124,9
125,5
126,3
127,3
128,4
129,5
130,3
131,4
132,5
133,5
134,5
135,5
136,3
137,5
138,5
139,2
140,5
141,5
142,5
143,9
144,9
145,5
146,2
147,2
148,3
149,3
150,2
