R,ev
1,4
2,3
3,3
4,4
5,4
6,4
7,7
8,4
9,2
10,3
11,4
12,2
13,3
14,4
15,7
16,4
17,4
18,4
19,2
20,4
21,3
22,4
23,2
24,4
25,2
26,1
27,3
28,3
29,7
30,3
31,2
32,3
33,4
34,7
35,7
36,7
37,3
38,7
39,2
40,2
41,3
42,7
43,4
44,4
45,7
46,4
47,4
48,4
49,4
50,2
51,3
52,3
53,3
54,3
55,3
56,2
57,7
58,4
59,2
60,3
61,4
62,7
63,4
64,2
65,7
66,4
67,3
68,3
69,7
70,4
71,3
72,4
73,7
74,7
75,2
76,4
77,3
78,4
79,2
80,7
81,2
82,4
83,7
84,2
85,7
86,4
87,4
88,4
89,7
90,4
91,7
92,3
93,4
94,2
95,4
96,4
97,3
98,4
99,3
100,4
101,3
102,2
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,7
112,2
113,7
114,2
115,4
116,4
117,3
118,7
119,2
120,7
121,7
122,4
123,4
124,3
125,4
126,7
127,3
128,3
129,3
130,4
131,7
132,2
133,4
134,4
135,2
136,4
137,2
138,4
139,4
140,2
141,2
142,2
143,4
144,2
145,4
146,4
147,4
148,7
149,2
150,4
