R,mq
1,7
2,7
3,2
4,4
5,4
6,7
7,4
8,4
9,4
10,2
11,4
12,4
13,7
14,4
15,2
16,4
17,2
18,4
19,4
20,4
21,7
22,4
23,4
24,4
25,2
26,4
27,4
28,2
29,7
30,7
31,2
32,7
33,2
34,7
35,7
36,7
37,7
38,3
39,7
40,4
41,3
42,4
43,1
44,4
45,4
46,4
47,4
48,4
49,4
50,7
51,4
52,7
53,2
54,2
55,4
56,7
57,7
58,4
59,4
60,4
61,4
62,3
63,4
64,4
65,7
66,4
67,7
68,4
69,4
70,3
71,7
72,2
73,4
74,4
75,2
76,4
77,7
78,4
79,7
80,4
81,4
82,2
83,2
84,2
85,2
86,4
87,4
88,4
89,4
90,4
91,4
92,7
93,4
94,4
95,2
96,4
97,4
98,4
99,2
100,4
101,7
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,2
111,7
112,4
113,2
114,4
115,4
116,4
117,2
118,2
119,7
120,7
121,2
122,4
123,4
124,7
125,4
126,2
127,2
128,3
129,4
130,4
131,4
132,2
133,2
134,4
135,4
136,4
137,2
138,4
139,4
140,7
141,4
142,4
143,4
144,2
145,4
146,4
147,4
148,7
149,4
150,4
