R,L
92,53
92,73
92,37
92,124
92,68
92,74
93,93
93,69
94,94
95,95
96,96
96,98
97,97
97,41
98,98
98,1
98,80
98,6
98,7
98,8
98,11
98,88
98,89
98,92
98,96
98,24
98,130
98,29
98,104
98,35
98,36
98,38
98,41
98,45
98,49
98,128
98,47
98,136
98,63
98,139
98,62
98,148
98,69
98,70
98,48
98,138
98,58
98,76
99,99
99,41
99,89
99,76
100,100
100,89
101,101
101,1
101,42
101,45
101,128
101,35
101,92
102,102
103,103
103,138
104,104
104,98
104,89
105,105
105,11
105,69
105,70
105,89
105,76
106,106
106,42
106,92
106,88
107,107
108,108
108,92
109,109
110,110
111,111
111,1
111,42
111,7
111,69
111,88
111,35
111,128
111,92
111,76
112,112
113,113
114,114
115,115
116,116
116,89
117,117
117,41
117,42
117,89
117,128
117,35
117,92
118,118
119,119
119,89
119,41
120,120
120,6
120,88
120,89
120,92
120,29
120,35
120,42
120,45
120,128
120,131
120,76
121,121
122,122
123,123
123,89
124,124
124,1
124,41
124,6
124,92
124,128
124,35
125,125
125,88
126,126
126,41
126,69
126,89
126,128
126,92
126,76
127,127
127,92
128,128
128,2
128,6
128,7
128,24
128,29
128,35
128,36
128,38
128,41
128,42
128,44
128,45
128,52
128,57
128,63
128,67
128,69
128,70
128,83
128,88
128,89
128,92
128,98
128,101
128,21
128,111
128,117
128,120
128,126
128,129
128,131
128,135
128,148
128,76
128,73
128,37
128,124
128,68
128,134
129,129
129,42
129,128
129,35
129,92
130,130
130,1
130,98
130,69
130,89
130,76
131,131
131,1
131,92
131,29
131,35
131,7
131,41
131,120
131,128
131,62
132,132
132,41
133,133
134,134
134,1
134,62
134,6
134,45
134,7
134,88
134,128
135,135
135,1
135,128
135,92
136,136
136,1
136,24
136,98
136,69
136,70
136,89
136,76
137,137
137,41
138,138
138,89
138,103
138,61
138,98
138,69
138,70
139,139
139,98
139,89
140,140
140,6
141,141
141,92
142,142
142,92
143,143
143,87
143,61
143,5
144,144
145,145
145,1
146,146
147,147
147,89
148,148
