R,mq
1,1
2,1
3,1
4,3
5,3
6,1
7,3
8,3
9,3
10,1
11,3
12,3
13,1
14,3
15,1
16,3
17,1
18,3
19,3
20,3
21,1
22,3
23,3
24,3
25,1
26,3
27,3
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,2
39,1
40,3
41,5
42,3
43,1
44,3
45,3
46,3
47,3
48,3
49,3
50,1
51,3
52,1
53,1
54,1
55,3
56,1
57,1
58,3
59,3
60,3
61,3
62,5
63,3
64,3
65,1
66,3
67,1
68,3
69,3
70,2
71,1
72,1
73,3
74,3
75,1
76,3
77,5
78,3
79,1
80,3
81,3
82,1
83,1
84,1
85,1
86,3
87,3
88,3
89,3
90,3
91,3
92,1
93,3
94,3
95,1
96,3
97,3
98,3
99,1
100,3
101,1
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,1
111,1
112,3
113,1
114,3
115,3
116,3
117,1
118,1
119,1
120,1
121,1
122,3
123,3
124,1
125,3
126,1
127,1
128,1
129,3
130,3
131,3
132,1
133,1
134,3
135,3
136,3
137,1
138,3
139,3
140,1
141,3
142,3
143,3
144,1
145,3
146,3
147,3
148,1
149,3
150,3
151,3
152,1
153,1
154,3
155,1
156,1
157,3
158,3
159,3
160,1
161,1
162,3
163,3
164,3
165,1
166,3
167,3
168,1
169,3
170,3
171,3
172,1
173,3
174,3
175,3
176,3
177,3
178,3
179,1
180,1
181,3
182,1
183,1
184,1
185,1
186,3
187,3
188,3
189,3
190,3
191,1
192,3
193,1
194,1
195,3
196,3
197,3
198,3
199,3
200,1
201,1
202,3
203,1
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,1
213,1
214,3
215,3
216,1
217,3
218,3
219,3
220,1
221,1
222,3
223,3
224,1
225,2
226,3
227,3
228,3
229,1
230,1
231,3
232,1
233,3
234,1
235,3
236,3
237,3
238,1
239,2
240,3
241,1
242,5
243,1
244,3
245,3
246,3
247,3
248,1
249,3
250,1
251,3
252,3
253,1
254,3
255,1
256,1
257,3
258,3
259,2
260,3
261,3
262,3
263,3
264,1
265,1
266,1
267,3
268,1
269,3
270,3
271,3
272,1
273,3
274,2
275,3
276,3
277,3
278,1
279,3
280,3
281,3
282,3
283,1
284,3
285,3
286,3
287,3
288,3
289,1
290,1
291,1
292,3
293,2
294,1
295,3
296,1
297,3
298,1
299,2
300,1
301,3
302,1
303,3
304,2
305,3
306,3
307,1
308,3
309,2
310,3
311,1
312,1
313,3
314,3
315,3
316,3
317,1
318,3
319,3
320,1
321,3
322,3
