L,L
145,1
145,2
145,13
146,2
146,1
146,14
146,3
147,3
147,2
147,4
147,15
148,4
148,16
148,5
148,3
149,5
149,6
149,17
149,4
150,6
150,5
150,18
150,7
151,7
151,6
151,8
151,19
152,8
152,20
152,9
152,7
153,9
153,10
153,21
153,8
154,10
154,9
154,22
154,11
155,11
155,10
155,12
155,23
156,12
156,24
156,11
157,13
157,1
157,25
157,14
158,14
158,2
158,13
158,26
158,15
159,15
159,27
159,16
159,14
159,3
160,16
160,28
160,17
160,4
160,15
161,17
161,16
161,5
161,29
161,18
162,18
162,6
162,17
162,30
162,19
163,19
163,31
163,20
163,18
163,7
164,20
164,32
164,21
164,8
164,19
165,21
165,20
165,9
165,33
165,22
166,22
166,10
166,21
166,34
166,23
167,23
167,35
167,22
167,24
167,11
168,24
168,36
168,12
168,23
169,25
169,37
169,13
169,26
170,26
170,27
170,14
170,25
170,38
171,27
171,28
171,39
171,15
171,26
172,28
172,16
172,27
172,29
172,40
173,29
173,17
173,28
173,30
173,41
174,30
174,42
174,31
174,18
174,29
175,31
175,43
175,32
175,19
175,30
176,32
176,44
176,20
176,31
176,33
177,33
177,45
177,21
177,32
177,34
178,34
178,35
178,22
178,33
178,46
179,35
179,47
179,36
179,34
179,23
180,36
180,35
180,48
180,24
181,37
181,25
181,49
181,38
182,38
182,37
182,50
182,39
182,26
183,39
183,27
183,51
183,40
183,38
184,40
184,28
184,52
184,41
184,39
185,41
185,53
185,42
185,29
185,40
186,42
186,54
186,43
186,30
186,41
187,43
187,55
187,44
187,42
187,31
188,44
188,56
188,45
188,43
188,32
189,45
189,44
189,33
189,57
189,46
190,46
190,45
190,47
190,58
190,34
191,47
191,35
191,48
191,46
191,59
192,48
192,36
192,47
192,60
193,49
193,37
193,50
193,61
194,50
194,62
194,51
194,38
194,49
195,51
195,52
195,63
195,39
195,50
196,52
196,64
196,53
196,40
196,51
197,53
197,54
197,65
197,41
197,52
198,54
198,66
198,55
198,42
198,53
199,55
199,56
199,67
199,43
199,54
200,56
200,44
200,55
200,68
200,57
201,57
201,45
201,56
201,58
201,69
202,58
202,70
202,46
202,57
202,59
203,59
203,47
203,60
203,58
203,71
204,60
204,48
204,72
204,59
205,61
205,73
205,62
205,49
206,62
206,74
206,63
206,50
206,61
207,63
207,75
207,64
207,62
207,51
208,64
208,76
208,65
208,52
208,63
209,65
209,77
209,66
209,64
209,53
210,66
210,78
210,67
210,54
210,65
211,67
211,66
211,55
211,79
211,68
212,68
212,56
212,67
212,80
212,69
213,69
213,81
213,70
213,68
213,57
214,70
214,82
214,58
214,69
214,71
215,71
215,70
215,83
215,72
215,59
216,72
216,60
216,84
216,71
217,73
217,74
217,85
217,61
218,74
218,86
218,75
218,62
218,73
219,75
219,87
219,76
219,63
219,74
220,76
220,77
220,64
220,75
220,88
221,77
221,78
221,89
221,65
221,76
222,78
222,66
222,77
222,90
222,79
223,79
223,67
223,78
223,91
223,80
224,80
224,81
224,68
224,79
224,92
225,81
225,82
225,93
225,69
225,80
226,82
226,70
226,81
226,83
226,94
227,83
227,82
227,95
227,84
227,71
228,84
228,83
228,96
228,72
229,85
229,97
229,86
229,73
230,86
230,98
230,87
230,74
230,85
231,87
231,86
231,75
231,99
231,88
232,88
232,87
232,100
232,89
232,76
233,89
233,77
233,88
233,101
233,90
234,90
234,78
234,89
234,102
234,91
235,91
235,90
235,79
235,103
235,92
236,92
236,91
236,104
236,93
236,80
237,93
237,81
237,92
237,105
237,94
238,94
238,82
238,93
238,95
238,106
239,95
239,83
239,107
239,96
239,94
240,96
240,108
240,84
240,95
241,97
241,98
241,109
241,85
242,98
242,86
242,97
242,110
242,99
243,99
243,87
243,98
243,100
243,111
244,100
244,88
244,99
244,112
244,101
245,101
245,89
245,100
245,102
245,113
246,102
246,90
246,101
246,114
246,103
247,103
247,91
247,102
247,104
247,115
248,104
248,92
248,103
248,116
248,105
249,105
249,93
249,104
249,106
249,117
250,106
250,107
250,94
250,105
250,118
251,107
251,108
251,119
251,95
251,106
252,108
252,120
252,96
252,107
253,109
253,97
253,110
253,121
254,110
254,98
254,122
254,109
254,111
255,111
255,123
255,110
255,99
255,112
256,112
256,100
256,124
256,111
256,113
257,113
257,125
257,112
257,101
257,114
258,114
258,102
258,113
258,115
258,126
259,115
259,114
259,103
259,116
259,127
260,116
260,104
260,115
260,117
260,128
261,117
261,116
261,105
261,118
261,129
262,118
262,119
262,106
262,130
262,117
263,119
263,120
263,107
263,118
263,131
264,120
264,108
264,119
264,132
265,121
265,133
265,109
265,122
266,122
266,123
266,134
266,110
266,121
267,123
267,122
267,135
267,111
267,124
268,124
268,123
268,125
268,136
268,112
269,125
269,124
269,113
269,137
269,126
270,126
270,125
270,114
270,127
270,138
271,127
271,115
271,126
271,139
271,128
272,128
272,116
272,127
272,129
272,140
273,129
273,141
273,117
273,130
273,128
274,130
274,142
274,118
274,131
274,129
275,131
275,143
275,119
275,130
275,132
276,132
276,120
276,131
276,144
277,133
277,134
277,121
278,134
278,133
278,122
278,135
279,135
279,123
279,134
279,136
280,136
280,135
280,124
280,137
281,137
281,125
281,136
281,138
282,138
282,137
282,126
282,139
283,139
283,127
283,138
283,140
284,140
284,141
284,139
284,128
285,141
285,142
285,129
285,140
286,142
286,143
286,141
286,130
287,143
287,142
287,131
287,144
288,144
288,143
288,132
289,145
289,146
289,157
290,146
290,145
290,158
290,147
291,147
291,146
291,148
291,159
292,148
292,160
292,149
292,147
293,149
293,150
293,161
293,148
294,150
294,149
294,162
294,151
295,151
295,150
295,152
295,163
296,152
296,164
296,153
296,151
297,153
297,154
297,165
297,152
298,154
298,153
298,166
298,155
299,155
299,154
299,156
299,167
300,156
300,168
300,155
301,157
301,145
301,169
301,158
302,158
302,146
302,157
302,170
302,159
303,159
303,171
303,160
303,158
303,147
304,160
304,172
304,161
304,148
304,159
305,161
305,160
305,149
305,173
305,162
306,162
306,150
306,161
306,174
306,163
307,163
307,175
307,164
307,162
307,151
308,164
308,176
308,165
308,152
308,163
309,165
309,164
309,153
309,177
309,166
310,166
310,154
310,165
310,178
310,167
311,167
311,179
311,166
311,168
311,155
312,168
312,180
312,156
312,167
313,169
313,181
313,157
313,170
314,170
314,171
314,158
314,169
314,182
315,171
315,172
315,183
315,159
315,170
316,172
316,160
316,171
316,173
316,184
317,173
317,161
317,172
317,174
317,185
318,174
318,186
318,175
318,162
318,173
319,175
319,187
319,176
319,163
319,174
320,176
320,188
320,164
320,175
320,177
321,177
321,189
321,165
321,176
321,178
322,178
322,179
322,166
322,177
322,190
323,179
323,191
323,180
323,178
323,167
324,180
324,179
324,192
324,168
325,181
325,169
325,193
325,182
326,182
326,181
326,194
326,183
326,170
327,183
327,171
327,195
327,184
327,182
328,184
328,172
328,196
328,185
328,183
329,185
329,197
329,186
329,173
329,184
330,186
330,198
330,187
330,174
330,185
331,187
331,199
331,188
331,186
331,175
332,188
332,200
332,189
332,187
332,176
333,189
333,188
333,177
333,201
333,190
334,190
334,189
334,191
334,202
334,178
335,191
335,179
335,192
335,190
335,203
336,192
336,180
336,191
336,204
