R,travel
1,3
2,6
3,5
4,11
5,3
6,3
7,3
8,4
9,3
10,11
11,1
12,4
13,3
14,11
15,11
16,3
17,2
18,6
19,11
20,3
21,2
22,4
23,3
24,2
25,3
26,3
27,4
28,4
29,2
30,4
31,2
32,2
33,11
34,11
35,3
36,11
37,2
38,2
39,11
40,3
41,2
42,3
43,2
44,2
45,2
46,6
47,3
48,11
49,11
50,11
51,6
52,4
53,2
54,11
55,11
56,4
57,11
58,3
59,2
60,2
61,11
62,11
63,2
64,4
65,3
66,3
67,2
68,2
69,2
70,4
71,3
72,3
73,4
74,3
75,11
76,3
77,3
78,3
79,3
80,11
81,2
82,11
83,3
84,2
85,3
86,6
87,11
88,4
89,2
90,2
91,11
92,4
93,11
94,3
95,11
96,3
97,3
98,4
99,4
100,2
101,3
102,6
103,11
104,4
105,4
106,2
107,2
108,2
109,4
110,3
111,4
112,11
113,4
114,4
115,5
116,4
117,11
118,6
119,11
120,2
121,4
122,2
123,2
124,2
125,5
126,2
127,2
128,4
129,11
130,4
131,3
132,4
133,2
134,4
135,2
136,3
137,3
138,2
139,11
140,3
141,4
142,6
143,11
144,3
145,4
146,4
147,11
148,5
149,6
150,11
151,2
152,3
153,11
154,6
155,2
156,2
157,3
158,3
159,4
160,4
161,11
162,3
163,2
164,4
165,3
166,4
167,11
168,11
169,3
170,2
171,2
172,3
173,4
174,3
175,4
176,6
177,3
178,3
179,4
180,3
181,5
182,11
183,4
184,3
185,6
186,6
187,2
188,6
189,2
190,11
191,6
192,4
193,4
194,3
195,11
196,11
197,6
198,4
199,4
200,2
201,6
202,4
203,6
204,6
205,6
206,11
207,6
208,11
209,6
210,6
211,3
212,11
213,3
214,4
215,4
216,4
217,6
218,6
219,2
220,11
221,6
222,11
223,4
224,6
225,2
226,6
227,6
228,2
229,4
230,4
231,2
232,2
233,6
234,6
235,4
236,3
237,3
238,6
239,3
240,4
241,6
242,6
243,6
244,6
245,11
246,11
247,11
248,6
249,11
250,6
251,4
252,2
253,6
254,2
255,1
256,6
257,3
258,6
259,6
260,2
261,2
262,6
263,6
264,3
265,4
266,11
267,11
268,2
269,11
270,4
271,6
272,3
273,6
274,11
275,2
276,6
277,11
278,11
279,11
280,6
281,4
282,4
283,4
284,6
285,6
286,6
287,6
288,6
289,4
