R,professional
1,5
2,5
3,9
4,9
5,9
6,3
7,2
8,5
9,3
10,5
11,3
12,9
13,9
14,5
15,3
16,9
17,5
18,5
19,9
20,4
21,3
22,2
23,5
24,3
25,3
26,9
27,9
28,3
29,9
30,2
31,2
32,9
33,2
34,9
35,3
36,5
37,5
38,9
39,2
40,1
41,5
42,4
43,4
44,5
45,3
46,5
47,2
48,2
49,3
50,2
51,3
52,9
53,9
54,9
55,3
56,2
57,3
58,4
59,3
60,5
61,3
62,2
63,2
64,9
65,5
66,9
67,5
68,5
69,5
70,9
71,3
72,2
73,2
74,4
75,4
76,4
77,9
78,9
79,2
80,3
81,9
82,2
83,2
84,2
85,2
86,4
87,5
88,2
89,3
90,5
91,5
92,5
93,9
94,9
95,2
96,9
97,3
98,9
99,4
100,2
101,2
102,2
103,3
104,3
105,3
106,3
107,3
108,3
109,2
110,4
111,2
112,2
113,3
114,5
115,5
116,9
117,4
118,9
119,9
120,3
121,2
122,4
123,3
124,3
125,2
126,9
127,2
128,3
129,3
130,2
131,9
132,2
133,4
134,3
135,4
136,9
137,3
138,2
139,3
140,4
141,9
142,9
143,9
144,4
145,9
146,3
147,3
148,3
149,9
150,2
151,2
152,2
153,3
154,3
155,4
156,4
157,3
158,2
159,2
160,3
161,2
162,2
163,2
164,3
165,4
166,4
167,4
168,4
169,9
170,2
171,2
172,3
173,2
174,2
175,2
176,3
177,3
178,9
179,3
180,2
181,9
182,5
183,5
184,5
185,2
186,5
187,9
188,4
189,3
190,2
191,3
192,9
193,2
194,3
195,3
196,2
197,2
198,2
199,3
200,3
201,9
202,9
203,9
204,5
205,2
206,2
207,2
208,3
209,5
210,2
211,3
212,3
213,5
214,9
215,2
216,2
217,9
218,3
219,2
220,2
221,2
222,4
223,3
224,4
225,9
226,2
227,5
228,3
229,5
230,2
231,3
232,5
233,9
234,3
235,9
236,2
237,9
238,5
239,2
240,9
241,9
242,3
243,2
244,3
245,4
246,3
247,9
248,4
249,9
250,9
251,5
252,3
253,5
254,2
255,5
256,4
257,2
258,9
259,3
260,4
261,2
262,3
263,3
264,2
265,4
266,2
267,2
268,9
269,9
270,5
271,5
272,5
273,2
274,5
275,5
276,5
277,3
278,5
279,2
280,9
281,4
282,4
283,9
284,4
285,4
286,3
287,3
288,4
289,9
290,9
291,9
292,3
293,3
294,5
295,9
296,4
297,3
298,5
299,5
300,3
301,3
302,5
303,5
304,4
305,9
306,4
307,4
308,9
309,3
310,2
311,9
312,4
313,4
314,9
315,9
316,4
317,5
318,2
319,3
320,3
321,5
322,9
323,5
324,5
325,9
326,9
327,4
328,9
329,9
330,2
331,2
332,3
333,3
334,4
335,4
336,4
337,4
338,3
339,4
340,5
341,5
342,5
343,2
344,5
345,9
346,5
347,2
348,4
349,5
350,5
351,4
352,4
353,3
354,4
355,5
356,9
357,9
358,3
359,3
360,4
361,5
362,5
363,5
364,2
365,4
366,9
367,3
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,2
377,2
378,4
379,9
380,9
381,4
382,9
383,5
384,3
385,5
386,5
387,5
388,9
389,5
390,5
391,5
392,2
393,5
394,5
395,5
396,2
397,5
398,5
399,5
400,2
401,3
402,4
403,4
404,2
405,5
406,5
407,5
408,2
409,5
410,2
411,5
412,3
413,3
414,5
415,5
416,9
417,5
418,4
419,9
420,5
421,3
422,5
423,9
424,3
425,4
426,5
427,9
428,5
429,3
430,5
431,2
432,2
433,5
434,4
435,5
436,3
437,3
438,3
439,4
440,2
441,5
442,5
443,5
444,2
445,2
446,5
447,5
448,9
449,2
450,4
451,3
452,2
453,5
454,5
455,5
456,5
457,3
458,3
459,9
460,3
461,3
462,5
463,3
464,5
465,2
466,5
467,5
468,5
469,5
470,3
471,9
472,4
473,9
474,9
475,2
476,3
477,5
478,5
479,9
480,3
481,5
482,5
483,5
484,2
485,9
486,3
487,5
488,5
489,2
490,9
491,5
492,4
493,5
494,9
495,4
496,9
497,5
498,3
499,5
500,9
501,5
502,9
503,9
504,5
505,5
506,3
507,9
508,5
509,2
510,5
511,3
512,2
513,5
514,5
515,4
516,5
517,2
518,4
519,5
520,5
521,3
522,2
523,5
524,5
525,5
526,5
527,5
528,5
529,5
