R,arts
1,7
2,4
3,4
4,4
5,3
6,3
7,4
8,4
9,3
10,7
11,4
12,4
13,2
14,4
15,4
16,7
17,4
18,7
19,2
20,2
21,2
22,4
23,4
24,4
25,4
26,4
27,4
28,2
29,7
30,4
31,2
32,2
33,3
34,7
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,3
43,2
44,4
45,4
46,4
47,4
48,7
49,2
50,7
51,2
52,7
53,2
54,2
55,4
56,7
57,4
58,3
59,7
60,4
61,4
62,2
63,4
64,4
65,4
66,4
67,4
68,3
69,4
70,7
71,3
72,3
73,3
74,3
75,7
76,3
77,7
78,3
79,7
80,7
81,2
82,3
83,2
84,7
85,2
86,7
87,4
88,7
89,4
90,7
91,4
92,4
93,4
94,4
95,2
96,3
97,3
98,2
99,7
100,7
101,2
102,7
103,2
104,3
105,7
106,2
107,4
108,3
109,3
110,4
111,4
112,4
113,3
114,4
115,4
116,4
117,3
118,7
119,7
120,7
121,2
122,7
123,7
124,7
125,2
126,2
127,2
128,7
129,2
130,7
131,3
132,4
133,4
134,7
135,7
136,2
137,4
138,4
139,4
140,3
141,3
142,7
143,3
144,4
145,7
146,2
147,2
148,1
149,2
150,2
151,2
152,2
153,3
154,4
155,3
156,4
157,7
158,4
159,4
160,7
161,2
162,4
163,3
164,4
165,7
166,2
167,7
168,3
169,7
170,2
171,2
172,2
173,7
174,7
175,7
176,3
177,3
178,3
179,7
180,4
181,4
182,4
183,2
184,4
185,2
186,2
187,4
188,2
189,7
190,3
191,7
192,2
193,7
194,2
195,7
196,7
197,2
198,2
199,2
200,7
201,4
202,2
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,2
211,3
212,3
213,4
214,3
215,2
216,3
217,2
218,7
219,7
220,7
221,2
222,2
223,2
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,3
236,2
237,3
238,2
239,4
240,7
241,2
242,2
243,2
244,2
245,7
246,2
247,7
248,4
249,7
250,7
251,4
252,4
253,4
254,4
255,2
256,3
257,3
258,4
259,7
260,3
261,2
262,7
263,7
264,7
265,7
266,3
267,2
268,4
269,2
270,2
271,2
272,2
273,4
274,2
275,4
276,4
277,4
278,4
279,4
280,7
281,2
282,7
283,4
284,2
285,2
286,4
287,4
288,7
289,4
290,3
291,4
292,3
293,4
294,4
295,2
296,7
297,2
298,4
299,4
300,4
301,4
302,4
303,3
304,4
305,7
306,4
307,2
308,7
309,2
310,2
311,7
312,4
313,3
314,2
315,2
316,3
317,7
318,2
319,2
320,7
321,4
322,4
323,4
324,4
325,4
326,4
327,7
328,2
329,3
330,2
331,7
332,7
333,4
334,3
335,4
336,7
337,7
338,4
339,7
340,4
341,2
342,2
343,4
344,4
345,4
346,4
347,2
348,3
349,4
350,4
351,3
352,2
353,2
354,7
355,7
356,7
357,2
358,4
359,2
360,7
361,3
362,4
363,2
364,4
365,4
366,7
367,4
368,4
369,2
370,4
371,4
372,4
373,4
374,4
375,2
376,4
377,4
378,4
379,4
380,4
381,4
382,7
383,7
384,7
385,4
386,4
387,4
388,7
389,7
390,4
391,4
392,4
393,7
394,4
395,4
396,4
397,4
398,2
399,4
400,4
401,4
402,3
403,7
404,4
405,4
406,7
407,4
408,4
409,7
410,4
411,4
412,4
413,7
414,4
415,4
416,4
417,2
418,4
419,4
420,4
421,4
422,3
423,4
424,4
425,4
426,7
427,4
428,4
429,4
430,4
431,4
432,4
433,4
434,4
435,4
436,4
437,4
438,4
439,4
440,4
441,4
442,4
443,4
444,4
445,4
446,7
447,4
448,3
449,4
450,3
451,2
452,4
453,4
454,4
455,7
456,4
457,4
458,2
459,4
460,4
461,4
462,4
463,4
464,4
465,4
466,4
467,4
468,2
469,4
470,7
471,2
472,3
473,7
474,4
475,7
476,2
477,4
478,4
479,4
480,7
481,4
482,4
483,4
484,4
485,4
486,4
487,4
488,4
489,4
490,3
491,4
492,3
493,7
494,4
495,3
496,4
497,2
498,2
499,3
500,7
501,4
502,7
503,4
504,4
505,4
506,4
507,4
508,4
509,4
510,4
511,2
512,2
513,4
514,4
515,4
516,2
517,4
518,7
519,4
520,4
521,3
522,4
523,4
524,4
525,4
526,4
527,4
528,4
529,3
