R,nightlife
1,3
2,2
3,5
4,3
5,2
6,4
7,3
8,3
9,3
10,9
11,5
12,3
13,2
14,5
15,5
16,5
17,5
18,2
19,3
20,2
21,5
22,9
23,2
24,5
25,5
26,9
27,3
28,2
29,3
30,3
31,5
32,9
33,2
34,2
35,5
36,5
37,5
38,5
39,2
40,5
41,5
42,4
43,3
44,2
45,5
46,5
47,2
48,2
49,3
50,9
51,3
52,3
53,9
54,9
55,9
56,9
57,2
58,3
59,9
60,9
61,2
62,9
63,5
64,5
65,2
66,2
67,1
68,5
69,4
70,3
71,9
72,9
73,4
74,9
75,9
76,9
77,9
78,3
79,3
80,9
81,9
82,2
83,3
84,3
85,9
86,9
87,3
88,3
89,9
90,2
91,3
92,2
93,2
94,3
95,9
96,9
97,9
98,9
99,9
100,9
101,3
102,3
103,3
104,3
105,3
106,3
107,2
108,9
109,4
110,2
111,9
112,5
113,9
114,5
115,5
116,3
117,3
118,9
119,4
120,9
121,5
122,9
123,2
124,3
125,2
126,9
127,3
128,2
129,3
130,3
131,2
132,9
133,9
134,9
135,4
136,2
137,2
138,5
139,5
140,4
141,9
142,9
143,9
144,9
145,5
146,9
147,2
148,2
149,2
150,9
151,3
152,2
153,3
154,4
155,4
156,2
157,2
158,5
159,5
160,5
161,4
162,5
163,5
164,3
165,3
166,9
167,9
168,3
169,3
170,2
171,2
172,2
173,2
174,3
175,2
176,3
177,9
178,3
179,5
180,3
181,5
182,9
183,5
184,5
185,5
186,9
187,2
188,3
189,9
190,4
191,3
192,9
193,3
194,3
195,3
196,2
197,3
198,3
199,9
200,9
201,4
202,5
203,9
204,5
205,5
206,5
207,5
208,5
209,5
210,9
211,2
212,3
213,9
214,9
215,4
216,3
217,9
218,3
219,3
220,3
221,2
222,3
223,3
224,5
225,2
226,3
227,3
228,5
229,5
230,5
231,9
232,9
233,2
234,5
235,4
236,9
237,4
238,5
239,3
240,3
241,3
242,3
243,9
244,2
245,2
246,3
247,9
248,9
249,5
250,5
251,5
252,5
253,2
254,5
255,2
256,9
257,9
258,3
259,5
260,3
261,5
262,3
263,9
264,3
265,2
266,2
267,3
268,3
269,3
270,2
271,4
272,3
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,4
281,9
282,4
283,2
284,2
285,2
286,2
287,9
288,2
289,3
290,3
291,3
292,3
293,5
294,2
295,3
296,4
297,3
298,5
299,2
300,5
301,5
302,5
303,9
304,3
305,4
306,4
307,2
308,2
309,3
310,4
311,2
312,2
313,2
314,3
315,3
316,2
317,5
318,4
319,4
320,3
321,5
322,2
323,5
324,5
325,2
326,9
327,4
328,5
329,3
330,9
331,9
332,2
333,3
334,3
335,2
336,2
337,2
338,3
339,4
340,5
341,5
342,5
343,5
344,5
345,2
346,5
347,5
348,4
349,5
350,5
351,9
352,2
353,5
354,2
355,5
356,3
357,4
358,2
359,2
360,3
361,9
362,5
363,5
364,5
365,9
366,2
367,2
368,5
369,5
370,2
371,5
372,5
373,5
374,5
375,5
376,5
377,2
378,9
379,3
380,3
381,2
382,3
383,2
384,9
385,3
386,5
387,5
388,9
389,5
390,5
391,5
392,5
393,5
394,5
395,5
396,5
397,2
398,5
399,2
400,4
401,2
402,9
403,9
404,5
405,5
406,2
407,2
408,5
409,9
410,5
411,5
412,9
413,2
414,5
415,5
416,5
417,5
418,5
419,4
420,5
421,5
422,2
423,2
424,5
425,2
426,5
427,3
428,9
429,5
430,5
431,2
432,5
433,5
434,3
435,2
436,5
437,5
438,5
439,5
440,5
441,5
442,5
443,5
444,5
445,2
446,2
447,2
448,9
449,5
450,9
451,3
452,3
453,5
454,5
455,3
456,5
457,3
458,5
459,3
460,2
461,5
462,4
463,5
464,5
465,5
466,5
467,5
468,5
469,5
470,2
471,4
472,3
473,9
474,5
475,5
476,5
477,5
478,9
479,9
480,2
481,5
482,5
483,2
484,5
485,9
486,5
487,5
488,5
489,2
490,9
491,2
492,3
493,9
494,2
495,9
496,3
497,5
498,2
499,4
500,5
501,5
502,3
503,9
504,2
505,5
506,5
507,5
508,5
509,5
510,5
511,5
512,5
513,5
514,5
515,5
516,3
517,9
518,9
519,5
520,5
521,3
522,5
523,5
524,2
525,5
526,5
527,5
528,5
529,2
