R,shop
1,5
2,2
3,5
4,3
5,3
6,9
7,9
8,3
9,9
10,9
11,5
12,9
13,5
14,3
15,5
16,3
17,2
18,9
19,9
20,3
21,5
22,3
23,5
24,2
25,5
26,2
27,2
28,3
29,3
30,9
31,5
32,5
33,3
34,4
35,9
36,2
37,5
38,2
39,3
40,5
41,2
42,9
43,9
44,9
45,3
46,2
47,5
48,5
49,3
50,9
51,4
52,9
53,2
54,3
55,5
56,4
57,9
58,3
59,3
60,9
61,5
62,9
63,9
64,2
65,5
66,5
67,5
68,2
69,1
70,9
71,3
72,4
73,9
74,9
75,3
76,2
77,3
78,9
79,4
80,4
81,9
82,9
83,4
84,2
85,5
86,2
87,5
88,5
89,9
90,9
91,5
92,5
93,5
94,4
95,4
96,3
97,2
98,4
99,2
100,3
101,9
102,9
103,3
104,4
105,9
106,3
107,9
108,4
109,3
110,5
111,9
112,3
113,4
114,5
115,5
116,3
117,2
118,2
119,9
120,3
121,5
122,2
123,9
124,9
125,4
126,9
127,9
128,3
129,9
130,5
131,4
132,5
133,5
134,2
135,2
136,4
137,5
138,5
139,5
140,2
141,2
142,3
143,3
144,4
145,5
146,2
147,2
148,2
149,3
150,4
151,4
152,9
153,9
154,4
155,9
156,5
157,5
158,4
159,2
160,9
161,4
162,5
163,3
164,9
165,2
166,3
167,4
168,9
169,2
170,2
171,2
172,3
173,9
174,3
175,3
176,9
177,9
178,3
179,2
180,5
181,9
182,2
183,2
184,2
185,5
186,5
187,4
188,3
189,4
190,4
191,9
192,3
193,9
194,3
195,3
196,3
197,9
198,9
199,2
200,3
201,9
202,5
203,2
204,5
205,2
206,9
207,5
208,2
209,2
210,3
211,9
212,4
213,9
214,3
215,9
216,9
217,9
218,4
219,9
220,9
221,2
222,2
223,3
224,4
225,5
226,9
227,3
228,5
229,5
230,5
231,3
232,5
233,3
234,5
235,9
236,9
237,4
238,5
239,5
240,9
241,4
242,9
243,9
244,9
245,3
246,9
247,5
248,2
249,5
250,9
251,5
252,3
253,5
254,3
255,5
256,9
257,9
258,2
259,9
260,3
261,9
262,9
263,9
264,9
265,2
266,9
267,9
268,5
269,2
270,9
271,9
272,2
273,3
274,5
275,5
276,5
277,5
278,5
279,5
280,9
281,2
282,9
283,9
284,3
285,2
286,3
287,3
288,3
289,9
290,9
291,3
292,9
293,2
294,5
295,4
296,2
297,3
298,5
299,5
300,3
301,2
302,5
303,2
304,2
305,2
306,3
307,9
308,3
309,3
310,3
311,2
312,9
313,3
314,2
315,2
316,3
317,5
318,9
319,2
320,5
321,5
322,5
323,5
324,5
325,2
326,9
327,3
328,5
329,3
330,2
331,4
332,3
333,9
334,2
335,3
336,3
337,2
338,3
339,2
340,5
341,5
342,5
343,5
344,5
345,5
346,5
347,5
348,3
349,5
350,5
351,2
352,5
353,3
354,3
355,5
356,2
357,3
358,9
359,5
360,2
361,3
362,5
363,5
364,2
365,2
366,3
367,5
368,5
369,5
370,5
371,2
372,5
373,5
374,5
375,5
376,5
377,5
378,9
379,9
380,3
381,3
382,3
383,3
384,9
385,5
386,5
387,5
388,9
389,3
390,5
391,5
392,2
393,2
394,5
395,5
396,5
397,5
398,5
399,5
400,5
401,9
402,3
403,3
404,5
405,5
406,2
407,5
408,5
409,2
410,2
411,3
412,5
413,3
414,5
415,5
416,2
417,2
418,2
419,9
420,5
421,5
422,5
423,5
424,3
425,9
426,5
427,9
428,5
429,3
430,5
431,5
432,5
433,5
434,2
435,5
436,2
437,5
438,3
439,2
440,3
441,2
442,5
443,5
444,5
445,2
446,5
447,2
448,3
449,3
450,2
451,2
452,5
453,5
454,5
455,3
456,2
457,5
458,5
459,5
460,5
461,2
462,2
463,5
464,2
465,5
466,3
467,5
468,3
469,5
470,5
471,5
472,2
473,9
474,2
475,9
476,5
477,5
478,2
479,2
480,9
481,5
482,5
483,5
484,5
485,5
486,3
487,2
488,5
489,5
490,2
491,5
492,2
493,2
494,5
495,2
496,3
497,2
498,9
499,2
500,3
501,5
502,5
503,3
504,5
505,5
506,2
507,3
508,5
509,5
510,5
511,5
512,5
513,5
514,5
515,5
516,5
517,5
518,2
519,2
520,3
521,3
522,5
523,5
524,5
525,3
526,2
527,5
528,5
529,2
