L,L
101,1
101,2
101,11
102,2
102,1
102,12
102,3
103,3
103,2
103,4
103,13
104,4
104,14
104,5
104,3
105,5
105,6
105,15
105,4
106,6
106,5
106,16
106,7
107,7
107,6
107,8
107,17
108,8
108,18
108,9
108,7
109,9
109,10
109,19
109,8
110,10
110,9
110,20
111,11
111,1
111,21
111,12
112,12
112,2
112,11
112,22
112,13
113,13
113,23
113,14
113,12
113,3
114,14
114,24
114,15
114,4
114,13
115,15
115,14
115,5
115,25
115,16
116,16
116,6
116,15
116,26
116,17
117,17
117,27
117,18
117,16
117,7
118,18
118,28
118,19
118,8
118,17
119,19
119,18
119,9
119,29
119,20
120,20
120,10
120,19
120,30
121,21
121,31
121,11
121,22
122,22
122,23
122,12
122,21
122,32
123,23
123,24
123,33
123,13
123,22
124,24
124,14
124,23
124,25
124,34
125,25
125,15
125,24
125,26
125,35
126,26
126,36
126,27
126,16
126,25
127,27
127,37
127,28
127,17
127,26
128,28
128,38
128,18
128,27
128,29
129,29
129,39
129,19
129,28
129,30
130,30
130,20
130,29
130,40
131,31
131,21
131,41
131,32
132,32
132,31
132,42
132,33
132,22
133,33
133,23
133,43
133,34
133,32
134,34
134,24
134,44
134,35
134,33
135,35
135,45
135,36
135,25
135,34
136,36
136,46
136,37
136,26
136,35
137,37
137,47
137,38
137,36
137,27
138,38
138,48
138,39
138,37
138,28
139,39
139,38
139,29
139,49
139,40
140,40
140,39
140,50
140,30
141,41
141,31
141,42
141,51
142,42
142,52
142,43
142,32
142,41
143,43
143,44
143,53
143,33
143,42
144,44
144,54
144,45
144,34
144,43
145,45
145,46
145,55
145,35
145,44
146,46
146,56
146,47
146,36
146,45
147,47
147,48
147,57
147,37
147,46
148,48
148,38
148,47
148,58
148,49
149,49
149,39
149,48
149,50
149,59
150,50
150,60
150,40
150,49
151,51
151,61
151,52
151,41
152,52
152,62
152,53
152,42
152,51
153,53
153,63
153,54
153,52
153,43
154,54
154,64
154,55
154,44
154,53
155,55
155,65
155,56
155,54
155,45
156,56
156,66
156,57
156,46
156,55
157,57
157,56
157,47
157,67
157,58
158,58
158,48
158,57
158,68
158,59
159,59
159,69
159,60
159,58
159,49
160,60
160,70
160,50
160,59
161,61
161,62
161,71
161,51
162,62
162,72
162,63
162,52
162,61
163,63
163,73
163,64
163,53
163,62
164,64
164,65
164,54
164,63
164,74
165,65
165,66
165,75
165,55
165,64
166,66
166,56
166,65
166,76
166,67
167,67
167,57
167,66
167,77
167,68
168,68
168,69
168,58
168,67
168,78
169,69
169,70
169,79
169,59
169,68
170,70
170,60
170,69
170,80
171,71
171,81
171,72
171,61
172,72
172,82
172,73
172,62
172,71
173,73
173,72
173,63
173,83
173,74
174,74
174,73
174,84
174,75
174,64
175,75
175,65
175,74
175,85
175,76
176,76
176,66
176,75
176,86
176,77
177,77
177,76
177,67
177,87
177,78
178,78
178,77
178,88
178,79
178,68
179,79
179,69
179,78
179,89
179,80
180,80
180,70
180,79
180,90
181,81
181,82
181,91
181,71
182,82
182,72
182,81
182,92
182,83
183,83
183,73
183,82
183,84
183,93
184,84
184,74
184,83
184,94
184,85
185,85
185,75
185,84
185,86
185,95
186,86
186,76
186,85
186,96
186,87
187,87
187,77
187,86
187,88
187,97
188,88
188,78
188,87
188,98
188,89
189,89
189,79
189,88
189,90
189,99
190,90
190,80
190,89
190,100
191,91
191,81
191,92
192,92
192,82
192,91
192,93
193,93
193,92
193,83
193,94
194,94
194,84
194,93
194,95
195,95
195,94
195,85
195,96
196,96
196,86
196,95
196,97
197,97
197,96
197,87
197,98
198,98
198,88
198,97
198,99
199,99
199,98
199,89
199,100
200,100
200,90
200,99
201,101
201,102
201,111
202,102
202,101
202,112
202,103
203,103
203,102
203,104
203,113
204,104
204,114
204,105
204,103
205,105
205,106
205,115
205,104
206,106
206,105
206,116
206,107
207,107
207,106
207,108
207,117
208,108
208,118
208,109
208,107
209,109
209,110
209,119
209,108
210,110
210,109
210,120
211,111
211,101
211,121
211,112
212,112
212,102
212,111
212,122
212,113
213,113
213,123
213,114
213,112
213,103
214,114
214,124
214,115
214,104
214,113
215,115
215,114
215,105
215,125
215,116
216,116
216,106
216,115
216,126
216,117
217,117
217,127
217,118
217,116
217,107
218,118
218,128
218,119
218,108
218,117
219,119
219,118
219,109
219,129
219,120
220,120
220,110
220,119
220,130
221,121
221,131
221,111
221,122
222,122
222,123
222,112
222,121
222,132
223,123
223,124
223,133
223,113
223,122
224,124
224,114
224,123
224,125
224,134
225,125
225,115
225,124
225,126
225,135
226,126
226,136
226,127
226,116
226,125
227,127
227,137
227,128
227,117
227,126
228,128
228,138
228,118
228,127
228,129
229,129
229,139
229,119
229,128
229,130
230,130
230,120
230,129
230,140
231,131
231,121
231,141
231,132
232,132
232,131
232,142
232,133
232,122
233,133
233,123
233,143
233,134
233,132
234,134
234,124
234,144
234,135
234,133
235,135
235,145
235,136
235,125
235,134
236,136
236,146
236,137
236,126
236,135
237,137
237,147
237,138
237,136
237,127
238,138
238,148
238,139
238,137
238,128
239,139
239,138
239,129
239,149
239,140
240,140
240,139
240,150
240,130
241,141
241,131
241,142
241,151
242,142
242,152
242,143
242,132
242,141
243,143
243,144
243,153
243,133
243,142
244,144
244,154
244,145
244,134
244,143
245,145
245,146
245,155
245,135
245,144
246,146
246,156
246,147
246,136
246,145
247,147
247,148
247,157
247,137
247,146
248,148
248,138
248,147
248,158
248,149
249,149
249,139
249,148
249,150
249,159
250,150
250,160
250,140
250,149
251,151
251,161
251,152
251,141
252,152
252,162
252,153
252,142
252,151
253,153
253,163
253,154
253,152
253,143
254,154
254,164
254,155
254,144
254,153
255,155
255,165
255,156
255,154
255,145
256,156
256,166
256,157
256,146
256,155
257,157
257,156
257,147
257,167
257,158
258,158
258,148
258,157
258,168
258,159
259,159
259,169
259,160
259,158
259,149
260,160
260,170
260,150
260,159
261,161
261,162
261,171
261,151
262,162
262,172
262,163
262,152
262,161
263,163
263,173
263,164
263,153
263,162
264,164
264,165
264,154
264,163
264,174
265,165
265,166
265,175
265,155
265,164
266,166
266,156
266,165
266,176
266,167
267,167
267,157
267,166
267,177
267,168
268,168
268,169
268,158
268,167
268,178
269,169
269,170
269,179
269,159
269,168
270,170
270,160
270,169
270,180
271,171
271,181
271,172
271,161
272,172
272,182
272,173
272,162
272,171
273,173
273,172
273,163
273,183
273,174
274,174
274,173
274,184
274,175
274,164
275,175
275,165
275,174
275,185
275,176
276,176
276,166
276,175
276,186
276,177
277,177
277,176
277,167
277,187
277,178
278,178
278,177
278,188
278,179
278,168
279,179
279,169
279,178
279,189
279,180
280,180
280,170
280,179
280,190
281,181
281,182
281,191
281,171
282,182
282,172
282,181
282,192
282,183
283,183
283,173
283,182
283,184
283,193
284,184
284,174
284,183
284,194
284,185
285,185
285,175
285,184
285,186
285,195
286,186
286,176
286,185
286,196
286,187
287,187
287,177
287,186
287,188
287,197
288,188
288,178
288,187
288,198
288,189
289,189
289,179
289,188
289,190
289,199
290,190
290,180
290,189
290,200
291,191
291,181
291,192
292,192
292,182
292,191
292,193
293,193
293,192
293,183
293,194
294,194
294,184
294,193
294,195
295,195
295,194
295,185
295,196
296,196
296,186
296,195
296,197
297,197
297,196
297,187
297,198
298,198
298,188
298,197
298,199
299,199
299,198
299,189
299,200
300,200
300,190
300,199
