R,outdoors
1,3
2,11
3,5
4,4
5,3
6,2
7,11
8,2
9,4
10,11
11,6
12,5
13,5
14,2
15,4
16,3
17,11
18,3
19,2
20,3
21,2
22,5
23,2
24,2
25,2
26,2
27,4
28,5
29,6
30,11
31,3
32,2
33,4
34,5
35,11
36,4
37,4
38,4
39,4
40,11
41,11
42,2
43,11
44,6
45,5
46,3
47,11
48,11
49,3
50,11
51,6
52,3
53,4
54,4
55,5
56,11
57,11
58,4
59,2
60,5
61,3
62,4
63,2
64,2
65,3
66,2
67,2
68,6
69,3
70,5
71,5
72,4
73,2
74,3
75,4
76,2
77,2
78,2
79,1
80,2
81,2
82,3
83,4
84,4
85,2
86,3
87,2
88,11
89,11
90,3
91,11
92,3
93,3
94,3
95,4
96,3
97,3
98,2
99,3
100,11
101,4
102,6
103,11
104,2
105,11
106,2
107,4
108,5
109,11
110,4
111,4
112,2
113,4
114,11
115,2
116,11
117,11
118,11
119,11
120,6
121,4
122,2
123,4
124,2
125,2
126,3
127,11
128,3
129,4
130,11
131,3
132,2
133,3
134,4
135,2
136,3
137,3
138,11
139,3
140,5
141,11
142,2
143,11
144,3
145,11
146,4
147,3
148,11
149,2
150,11
151,4
152,3
153,2
154,2
155,2
156,4
157,5
158,4
159,11
160,11
161,3
162,5
163,4
164,4
165,11
166,4
167,11
168,5
169,5
170,6
171,6
172,5
173,5
174,11
175,4
176,4
177,4
178,4
179,4
180,11
181,5
182,4
183,4
184,2
185,2
186,3
187,3
188,3
189,11
190,2
191,6
192,4
193,2
194,4
195,5
196,4
197,3
198,5
199,11
200,6
201,11
202,11
203,3
204,3
205,6
206,6
207,3
208,2
209,2
210,2
211,3
212,3
213,5
214,3
215,11
216,2
217,2
218,11
219,11
220,11
221,3
222,11
223,5
224,11
225,11
226,3
227,2
228,2
229,3
230,3
231,3
232,11
233,2
234,6
235,6
236,3
237,4
238,2
239,6
240,5
241,6
242,3
243,6
244,4
245,2
246,11
247,11
248,5
249,6
250,3
251,5
252,6
253,6
254,3
255,6
256,6
257,2
258,5
259,3
260,4
261,2
262,4
263,2
264,11
265,3
266,4
267,4
268,3
269,5
270,4
271,3
272,6
273,3
274,6
275,6
276,2
277,6
278,11
279,3
280,2
281,5
282,4
283,3
284,3
285,3
286,3
287,3
288,3
289,5
