L,L
50,1
50,2
50,8
51,2
51,1
51,9
51,3
52,3
52,2
52,4
52,10
53,4
53,11
53,5
53,3
54,5
54,6
54,12
54,4
55,6
55,5
55,13
55,7
56,7
56,6
56,14
57,8
57,1
57,15
57,9
58,9
58,2
58,8
58,16
58,10
59,10
59,17
59,11
59,9
59,3
60,11
60,18
60,12
60,4
60,10
61,12
61,11
61,5
61,19
61,13
62,13
62,6
62,12
62,20
62,14
63,14
63,21
63,13
63,7
64,15
64,22
64,8
64,16
65,16
65,17
65,9
65,15
65,23
66,17
66,18
66,24
66,10
66,16
67,18
67,11
67,17
67,19
67,25
68,19
68,12
68,18
68,20
68,26
69,20
69,27
69,21
69,13
69,19
70,21
70,28
70,14
70,20
71,22
71,15
71,29
71,23
72,23
72,22
72,30
72,24
72,16
73,24
73,17
73,31
73,25
73,23
74,25
74,18
74,32
74,26
74,24
75,26
75,33
75,27
75,19
75,25
76,27
76,34
76,28
76,20
76,26
77,28
77,35
77,27
77,21
78,29
78,22
78,30
78,36
79,30
79,37
79,31
79,23
79,29
80,31
80,32
80,38
80,24
80,30
81,32
81,39
81,33
81,25
81,31
82,33
82,34
82,40
82,26
82,32
83,34
83,41
83,35
83,27
83,33
84,35
84,42
84,28
84,34
85,36
85,43
85,37
85,29
86,37
86,44
86,38
86,30
86,36
87,38
87,45
87,39
87,37
87,31
88,39
88,46
88,40
88,32
88,38
89,40
89,47
89,41
89,39
89,33
90,41
90,48
90,42
90,34
90,40
91,42
91,41
91,35
91,49
92,43
92,44
92,36
93,44
93,45
93,37
93,43
94,45
94,46
94,38
94,44
95,46
95,47
95,39
95,45
96,47
96,48
96,40
96,46
97,48
97,41
97,47
97,49
98,49
98,42
98,48
99,50
99,51
99,57
100,51
100,50
100,58
100,52
101,52
101,51
101,53
101,59
102,53
102,60
102,54
102,52
103,54
103,55
103,61
103,53
104,55
104,54
104,62
104,56
105,56
105,55
105,63
106,57
106,50
106,64
106,58
107,58
107,51
107,57
107,65
107,59
108,59
108,66
108,60
108,58
108,52
109,60
109,67
109,61
109,53
109,59
110,61
110,60
110,54
110,68
110,62
111,62
111,55
111,61
111,69
111,63
112,63
112,70
112,62
112,56
113,64
113,71
113,57
113,65
114,65
114,66
114,58
114,64
114,72
115,66
115,67
115,73
115,59
115,65
116,67
116,60
116,66
116,68
116,74
117,68
117,61
117,67
117,69
117,75
118,69
118,76
118,70
118,62
118,68
119,70
119,77
119,63
119,69
120,71
120,64
120,78
120,72
121,72
121,71
121,79
121,73
121,65
122,73
122,66
122,80
122,74
122,72
123,74
123,67
123,81
123,75
123,73
124,75
124,82
124,76
124,68
124,74
125,76
125,83
125,77
125,69
125,75
126,77
126,84
126,76
126,70
127,78
127,71
127,79
127,85
128,79
128,86
128,80
128,72
128,78
129,80
129,81
129,87
129,73
129,79
130,81
130,88
130,82
130,74
130,80
131,82
131,83
131,89
131,75
131,81
132,83
132,90
132,84
132,76
132,82
133,84
133,91
133,77
133,83
134,85
134,92
134,86
134,78
135,86
135,93
135,87
135,79
135,85
136,87
136,94
136,88
136,86
136,80
137,88
137,95
137,89
137,81
137,87
138,89
138,96
138,90
138,88
138,82
139,90
139,97
139,91
139,83
139,89
140,91
140,90
140,84
140,98
141,92
141,93
141,85
142,93
142,94
142,86
142,92
143,94
143,95
143,87
143,93
144,95
144,96
144,88
144,94
145,96
145,97
145,89
145,95
146,97
146,90
146,96
146,98
147,98
147,91
147,97
