L,L
530,1
530,2
530,24
531,2
531,1
531,25
531,3
532,3
532,2
532,4
532,26
533,4
533,27
533,5
533,3
534,5
534,6
534,28
534,4
535,6
535,5
535,29
535,7
536,7
536,6
536,8
536,30
537,8
537,31
537,9
537,7
538,9
538,10
538,32
538,8
539,10
539,9
539,33
539,11
540,11
540,10
540,12
540,34
541,12
541,13
541,35
541,11
542,13
542,12
542,36
542,14
543,14
543,13
543,37
543,15
544,15
544,16
544,38
544,14
545,16
545,17
545,39
545,15
546,17
546,16
546,40
546,18
547,18
547,17
547,41
547,19
548,19
548,20
548,42
548,18
549,20
549,43
549,19
549,21
550,21
550,20
550,22
550,44
551,22
551,23
551,45
551,21
552,23
552,46
552,22
553,24
553,1
553,47
553,25
554,25
554,2
554,24
554,48
554,26
555,26
555,49
555,27
555,25
555,3
556,27
556,50
556,28
556,4
556,26
557,28
557,27
557,5
557,51
557,29
558,29
558,6
558,28
558,52
558,30
559,30
559,53
559,31
559,29
559,7
560,31
560,54
560,32
560,8
560,30
561,32
561,31
561,9
561,55
561,33
562,33
562,10
562,32
562,56
562,34
563,34
563,57
563,33
563,35
563,11
564,35
564,58
564,12
564,36
564,34
565,36
565,59
565,13
565,37
565,35
566,37
566,60
566,38
566,14
566,36
567,38
567,61
567,39
567,15
567,37
568,39
568,16
568,62
568,40
568,38
569,40
569,17
569,41
569,63
569,39
570,41
570,42
570,18
570,40
570,64
571,42
571,43
571,19
571,41
571,65
572,43
572,20
572,42
572,66
572,44
573,44
573,67
573,43
573,45
573,21
574,45
574,68
574,46
574,22
574,44
575,46
575,69
575,23
575,45
576,47
576,70
576,24
576,48
577,48
577,49
577,25
577,47
577,71
578,49
578,50
578,72
578,26
578,48
579,50
579,27
579,49
579,51
579,73
580,51
580,28
580,50
580,52
580,74
581,52
581,75
581,53
581,29
581,51
582,53
582,76
582,54
582,30
582,52
583,54
583,77
583,31
583,53
583,55
584,55
584,78
584,32
584,54
584,56
585,56
585,57
585,33
585,55
585,79
586,57
586,80
586,58
586,56
586,34
587,58
587,57
587,81
587,59
587,35
588,59
588,82
588,58
588,60
588,36
589,60
589,83
589,59
589,61
589,37
590,61
590,60
590,84
590,62
590,38
591,62
591,61
591,85
591,63
591,39
592,63
592,86
592,62
592,40
592,64
593,64
593,87
593,41
593,63
593,65
594,65
594,42
594,64
594,88
594,66
595,66
595,67
595,43
595,65
595,89
596,67
596,68
596,66
596,90
596,44
597,68
597,67
597,91
597,69
597,45
598,69
598,68
598,92
598,46
599,70
599,47
599,93
599,71
600,71
600,70
600,94
600,72
600,48
601,72
601,49
601,95
601,73
601,71
602,73
602,50
602,96
602,74
602,72
603,74
603,97
603,75
603,51
603,73
604,75
604,98
604,76
604,52
604,74
605,76
605,99
605,77
605,75
605,53
606,77
606,100
606,78
606,76
606,54
607,78
607,77
607,55
607,101
607,79
608,79
608,78
608,80
608,102
608,56
609,80
609,57
609,81
609,79
609,103
610,81
610,82
610,58
610,80
610,104
611,82
611,83
611,59
611,81
611,105
612,83
612,82
612,60
612,106
612,84
613,84
613,83
613,61
613,107
613,85
614,85
614,108
614,86
614,62
614,84
615,86
615,109
615,87
615,63
615,85
616,87
616,110
616,86
616,64
616,88
617,88
617,111
617,87
617,65
617,89
618,89
618,66
618,88
618,112
618,90
619,90
619,67
619,91
619,113
619,89
620,91
620,68
620,92
620,114
620,90
621,92
621,69
621,91
621,115
622,93
622,70
622,94
622,116
623,94
623,117
623,95
623,71
623,93
624,95
624,96
624,118
624,72
624,94
625,96
625,119
625,97
625,73
625,95
626,97
626,98
626,120
626,74
626,96
627,98
627,121
627,99
627,75
627,97
628,99
628,100
628,122
628,76
628,98
629,100
629,77
629,99
629,123
629,101
630,101
630,78
630,100
630,102
630,124
631,102
631,125
631,79
631,101
631,103
632,103
632,80
632,104
632,102
632,126
633,104
633,81
633,105
633,127
633,103
634,105
634,82
634,104
634,128
634,106
635,106
635,83
635,105
635,129
635,107
636,107
636,108
636,130
636,84
636,106
637,108
637,109
637,131
637,85
637,107
638,109
638,108
638,132
638,110
638,86
639,110
639,109
639,133
639,111
639,87
640,111
640,134
640,110
640,88
640,112
641,112
641,135
641,111
641,113
641,89
642,113
642,136
642,114
642,112
642,90
643,114
643,91
643,115
643,137
643,113
644,115
644,92
644,138
644,114
645,116
645,139
645,117
645,93
646,117
646,140
646,118
646,94
646,116
647,118
647,141
647,119
647,117
647,95
648,119
648,142
648,120
648,96
648,118
649,120
649,143
649,121
649,119
649,97
650,121
650,144
650,122
650,98
650,120
651,122
651,121
651,99
651,145
651,123
652,123
652,100
652,122
652,146
652,124
653,124
653,147
653,125
653,123
653,101
654,125
654,148
654,102
654,124
654,126
655,126
655,125
655,149
655,127
655,103
656,127
656,104
656,150
656,128
656,126
657,128
657,105
657,151
657,129
657,127
658,129
658,130
658,106
658,128
658,152
659,130
659,131
659,107
659,129
659,153
660,131
660,108
660,132
660,130
660,154
661,132
661,109
661,133
661,131
661,155
662,133
662,134
662,110
662,132
662,156
663,134
663,135
663,111
663,133
663,157
664,135
664,134
664,136
664,112
664,158
665,136
665,135
665,159
665,137
665,113
666,137
666,160
666,138
666,114
666,136
667,138
667,115
667,161
667,137
668,139
668,140
668,162
668,116
669,140
669,163
669,141
669,117
669,139
670,141
670,164
670,142
670,118
670,140
671,142
671,143
671,119
671,141
671,165
672,143
672,144
672,166
672,120
672,142
673,144
673,121
673,143
673,167
673,145
674,145
674,122
674,144
674,168
674,146
675,146
675,147
675,123
675,145
675,169
676,147
676,148
676,170
676,124
676,146
677,148
677,125
677,147
677,149
677,171
678,149
678,148
678,172
678,150
678,126
679,150
679,149
679,173
679,151
679,127
680,151
680,174
680,128
680,150
680,152
681,152
681,175
681,129
681,151
681,153
682,153
682,130
682,152
682,176
682,154
683,154
683,131
683,153
683,177
683,155
684,155
684,132
684,178
684,154
684,156
685,156
685,133
685,179
685,155
685,157
686,157
686,134
686,156
686,180
686,158
687,158
687,135
687,159
687,157
687,181
688,159
688,182
688,160
688,136
688,158
689,160
689,159
689,183
689,161
689,137
690,161
690,160
690,184
690,138
691,162
691,185
691,163
691,139
692,163
692,186
692,164
692,140
692,162
693,164
693,163
693,141
693,187
693,165
694,165
694,164
694,188
694,166
694,142
695,166
695,143
695,165
695,189
695,167
696,167
