R,college
1,4
2,7
3,7
4,7
5,4
6,7
7,4
8,4
9,4
10,4
11,2
12,2
13,7
14,4
15,7
16,4
17,3
18,7
19,3
20,7
21,7
22,4
23,4
24,4
25,2
26,4
27,4
28,4
29,7
30,3
31,2
32,2
33,2
34,7
35,7
36,2
37,4
38,4
39,4
40,3
41,4
42,4
43,2
44,7
45,7
46,2
47,2
48,2
49,2
50,2
51,3
52,4
53,4
54,3
55,3
56,4
57,2
58,4
59,3
60,4
61,2
62,2
63,2
64,2
65,2
66,7
67,7
68,2
69,4
70,4
71,4
72,7
73,3
74,2
75,2
76,1
77,2
78,2
79,7
80,4
81,2
82,7
83,4
84,4
85,4
86,4
87,4
88,3
89,4
90,2
91,2
92,2
93,2
94,3
95,4
96,4
97,7
98,4
99,4
100,4
101,3
102,2
103,3
104,7
105,2
106,3
107,7
108,7
109,4
110,4
111,2
112,4
113,4
114,4
115,3
116,2
117,3
118,7
119,2
120,7
121,3
122,4
123,4
124,4
125,7
126,4
127,4
128,4
129,2
130,4
131,7
132,7
133,7
134,4
135,4
136,2
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,7
147,3
148,4
149,4
150,2
151,7
152,4
153,4
154,4
155,7
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,7
168,4
169,4
170,4
171,2
172,4
173,4
174,4
175,4
176,4
177,2
178,4
179,4
180,4
181,4
182,4
183,2
184,4
185,4
186,4
187,4
188,7
189,7
190,4
191,3
192,7
193,4
194,7
195,4
196,4
