R,L
1,1
1,2
1,15
2,2
2,1
2,16
2,3
3,3
3,2
3,4
3,17
4,4
4,18
4,5
4,3
5,5
5,6
5,19
5,4
6,6
6,5
6,20
6,7
7,7
7,6
7,8
7,21
8,8
8,22
8,9
8,7
9,9
9,10
9,23
9,8
10,10
10,9
10,24
10,11
11,11
11,10
11,12
11,25
12,12
12,13
12,26
12,11
13,13
13,12
13,27
13,14
14,14
14,13
14,28
15,15
15,1
15,29
15,16
16,16
16,2
16,15
16,30
16,17
17,17
17,31
17,18
17,16
17,3
18,18
18,32
18,19
18,4
18,17
19,19
19,18
19,5
19,33
19,20
20,20
20,6
20,19
20,34
20,21
21,21
21,35
21,22
21,20
21,7
22,22
22,36
22,23
22,8
22,21
23,23
23,22
23,9
23,37
23,24
24,24
24,10
24,23
24,38
24,25
25,25
25,39
25,24
25,26
25,11
26,26
26,40
26,12
26,27
26,25
27,27
27,41
27,13
27,28
27,26
28,28
28,42
28,14
28,27
29,29
29,43
29,15
29,30
30,30
30,31
30,16
30,29
30,44
31,31
31,32
31,45
31,17
31,30
32,32
32,18
32,31
32,33
32,46
33,33
33,19
33,32
33,34
33,47
34,34
34,48
34,35
34,20
34,33
35,35
35,49
35,36
35,21
35,34
36,36
36,50
36,22
36,35
36,37
37,37
37,51
37,23
37,36
37,38
38,38
38,39
38,24
38,37
38,52
39,39
39,53
39,40
39,38
39,25
40,40
40,39
40,54
40,41
40,26
41,41
41,55
41,40
41,42
41,27
42,42
42,56
42,41
42,28
43,43
43,29
43,57
43,44
44,44
44,43
44,58
44,45
44,30
45,45
45,31
45,59
45,46
45,44
46,46
46,32
46,60
46,47
46,45
47,47
47,61
47,48
47,33
47,46
48,48
48,62
48,49
48,34
48,47
49,49
49,63
49,50
49,48
49,35
50,50
50,64
50,51
50,49
50,36
51,51
51,50
51,37
51,65
51,52
52,52
52,51
52,53
52,66
52,38
53,53
53,39
53,54
53,52
53,67
54,54
54,55
54,40
54,53
54,68
55,55
55,56
55,41
55,54
55,69
56,56
56,55
56,42
56,70
57,57
57,43
57,58
57,71
58,58
58,72
58,59
58,44
58,57
59,59
59,60
59,73
59,45
59,58
60,60
60,74
60,61
60,46
60,59
61,61
61,62
61,75
61,47
61,60
62,62
62,76
62,63
62,48
62,61
63,63
63,64
63,77
63,49
63,62
64,64
64,50
64,63
64,78
64,65
65,65
65,51
65,64
65,66
65,79
66,66
66,80
66,52
66,65
66,67
67,67
67,53
67,68
67,66
67,81
68,68
68,54
68,69
68,82
68,67
69,69
69,55
69,68
69,83
69,70
70,70
70,56
70,69
70,84
71,71
71,85
71,72
71,57
72,72
72,86
72,73
72,58
72,71
73,73
73,87
73,74
73,72
73,59
74,74
74,88
74,75
74,60
74,73
75,75
75,89
75,76
75,74
75,61
76,76
76,90
76,77
76,62
76,75
77,77
77,76
77,63
77,91
77,78
78,78
78,64
78,77
78,92
78,79
79,79
79,93
79,80
79,78
79,65
80,80
80,94
80,66
80,79
80,81
81,81
81,80
81,95
81,82
81,67
82,82
82,68
82,96
82,83
82,81
83,83
83,69
83,97
83,84
83,82
84,84
84,70
84,83
84,98
85,85
85,86
85,99
85,71
86,86
86,100
86,87
86,72
86,85
87,87
87,101
87,88
87,73
87,86
88,88
88,89
88,74
88,87
88,102
89,89
89,90
89,103
89,75
89,88
90,90
90,76
90,89
90,104
90,91
91,91
91,77
91,90
91,105
91,92
92,92
92,93
92,78
92,91
92,106
93,93
93,94
93,107
93,79
93,92
94,94
94,80
94,93
94,95
94,108
95,95
95,94
95,109
95,96
95,81
96,96
96,95
96,110
96,97
96,82
97,97
97,111
97,83
97,96
97,98
98,98
98,112
98,84
98,97
99,99
99,113
99,100
99,85
100,100
100,114
100,101
100,86
100,99
101,101
101,100
101,87
101,115
101,102
102,102
102,101
102,116
102,103
102,88
103,103
103,89
103,102
103,117
103,104
104,104
104,90
104,103
104,118
104,105
105,105
105,104
105,91
105,119
105,106
106,106
106,105
106,120
106,107
106,92
107,107
107,93
107,106
107,121
107,108
108,108
108,94
108,107
108,109
108,122
109,109
109,95
109,123
109,110
109,108
110,110
110,124
110,111
110,96
110,109
111,111
111,125
111,112
111,97
111,110
112,112
112,126
112,111
112,98
113,113
113,114
113,127
113,99
114,114
114,100
114,113
114,128
114,115
115,115
115,101
115,114
115,116
115,129
116,116
116,102
116,115
116,130
116,117
117,117
117,103
117,116
117,118
117,131
118,118
118,104
118,117
118,132
118,119
119,119
119,105
119,118
119,120
119,133
120,120
120,106
120,119
120,134
120,121
121,121
121,107
121,120
121,122
121,135
122,122
122,123
122,108
122,121
122,136
123,123
123,124
123,137
123,109
123,122
124,124
124,125
124,138
124,110
124,123
125,125
125,124
125,139
125,126
125,111
126,126
126,125
126,140
126,112
127,127
127,113
127,128
127,141
128,128
128,114
128,142
128,127
128,129
129,129
129,143
129,128
129,115
129,130
130,130
130,116
130,144
130,129
130,131
131,131
131,145
131,130
131,117
131,132
132,132
132,118
132,131
132,133
132,146
133,133
133,132
133,119
133,134
133,147
134,134
134,120
134,133
134,135
134,148
135,135
135,134
135,121
135,136
135,149
136,136
136,137
136,122
136,150
136,135
137,137
137,138
137,123
137,136
137,151
138,138
138,124
138,139
138,137
138,152
139,139
139,125
139,140
139,138
139,153
140,140
140,126
140,139
140,154
141,141
141,155
141,127
141,142
142,142
142,143
142,156
142,128
142,141
143,143
143,142
143,157
143,129
143,144
144,144
144,143
144,145
144,158
144,130
145,145
145,144
145,131
145,159
145,146
146,146
146,145
146,132
146,147
146,160
147,147
147,133
147,146
147,161
147,148
148,148
148,134
148,147
148,149
148,162
149,149
149,163
149,135
149,150
149,148
150,150
150,164
150,136
150,151
150,149
151,151
151,165
151,137
151,150
151,152
152,152
152,138
152,153
152,151
152,166
153,153
153,139
153,154
153,152
153,167
154,154
154,140
154,153
154,168
155,155
155,169
155,156
155,141
156,156
156,155
156,142
156,170
156,157
157,157
157,143
157,156
157,171
157,158
158,158
158,157
158,144
158,172
158,159
159,159
159,145
159,158
159,173
159,160
160,160
160,159
160,146
160,174
160,161
161,161
161,147
161,160
161,175
161,162
162,162
162,176
162,163
162,161
162,148
163,163
163,177
163,164
163,149
163,162
164,164
164,165
164,163
164,150
164,178
165,165
165,179
165,164
165,151
165,166
166,166
166,180
166,165
166,152
166,167
167,167
167,153
167,166
167,181
167,168
168,168
168,154
168,167
168,182
169,169
169,155
169,170
169,183
170,170
170,156
170,169
170,171
170,184
171,171
171,157
171,170
171,185
171,172
172,172
172,158
172,171
172,186
172,173
173,173
173,187
173,159
173,172
173,174
174,174
174,188
174,160
174,173
174,175
175,175
175,176
175,161
175,174
175,189
176,176
176,177
176,190
176,162
176,175
177,177
177,163
177,176
177,178
177,191
178,178
178,179
178,164
178,177
178,192
179,179
179,180
179,165
179,178
179,193
180,180
180,179
180,166
180,194
180,181
181,181
181,180
181,167
181,195
181,182
182,182
182,196
182,168
182,181
183,183
183,169
183,184
184,184
184,170
184,183
184,185
185,185
185,171
185,184
185,186
186,186
186,187
186,185
186,172
187,187
187,188
187,186
187,173
188,188
188,187
188,174
188,189
189,189
189,188
189,190
189,175
190,190
190,176
190,191
190,189
191,191
191,177
191,192
191,190
192,192
192,178
192,191
192,193
193,193
193,179
193,192
193,194
194,194
194,180
194,193
194,195
195,195
195,196
195,181
195,194
196,196
196,182
196,195
