R,outdoors
1,2
2,3
3,11
4,11
5,3
6,4
7,2
8,3
9,6
10,5
11,5
12,11
13,2
14,11
15,11
16,2
17,4
18,5
19,4
20,3
21,3
22,11
23,5
24,6
25,5
26,3
27,11
28,6
29,11
30,5
31,5
32,4
33,11
34,3
35,11
36,5
37,5
38,4
39,2
40,3
41,2
42,2
43,5
44,11
45,11
46,2
47,4
48,3
49,3
50,2
51,2
52,3
53,3
54,3
55,4
56,11
57,2
58,4
59,4
60,4
61,4
62,2
63,2
64,2
65,3
66,3
67,2
68,4
69,4
70,5
71,3
72,4
73,3
74,11
75,5
76,4
77,4
78,3
79,2
80,3
81,3
82,11
83,4
84,11
85,5
86,4
87,3
88,11
89,2
90,5
91,4
92,3
93,11
94,4
95,2
96,3
97,2
98,2
99,1
100,5
101,11
102,11
103,3
104,4
105,4
106,5
107,11
108,5
109,2
110,5
111,5
112,2
113,5
114,11
115,4
116,5
117,4
118,5
119,4
120,4
121,4
122,11
123,4
124,2
125,4
126,5
127,3
128,11
129,2
130,4
131,2
132,11
133,4
134,11
135,5
136,3
137,2
138,2
139,3
140,2
141,4
142,6
143,3
144,2
145,2
146,3
147,11
148,11
149,11
150,3
151,11
152,11
153,11
154,2
155,11
156,5
157,4
158,3
159,4
160,4
161,2
162,3
163,5
164,3
165,4
166,3
167,3
168,5
169,5
170,3
171,5
172,2
173,2
174,2
175,5
176,3
177,4
178,2
179,11
180,11
181,2
182,6
183,5
184,11
185,3
186,6
187,5
188,4
189,5
190,11
191,3
192,4
193,11
194,2
195,2
196,5
