R,professional
1,6
2,3
3,4
4,2
5,11
6,11
7,3
8,11
9,11
10,3
11,5
12,5
13,3
14,2
15,2
16,3
17,2
18,4
19,11
20,3
21,3
22,4
23,3
24,2
25,2
26,11
27,6
28,6
29,4
30,2
31,4
32,4
33,3
34,2
35,2
36,3
37,2
38,2
39,11
40,2
41,11
42,6
43,4
44,5
45,3
46,11
47,11
48,3
49,11
50,2
51,2
52,3
53,4
54,2
55,4
56,2
57,1
58,3
59,4
60,4
61,4
62,2
63,3
64,2
65,3
66,2
67,11
68,3
69,2
70,2
71,4
72,11
73,3
74,2
75,3
76,2
77,2
78,2
79,3
80,11
81,5
82,2
83,2
84,2
85,3
86,4
87,4
88,3
89,3
90,3
91,11
92,3
93,11
94,11
95,5
96,3
97,5
98,3
99,11
100,2
101,4
102,5
103,5
104,4
105,11
106,4
107,3
108,11
109,6
110,4
111,4
112,6
113,3
114,11
115,5
116,11
117,11
118,11
119,3
120,5
121,5
122,11
123,5
124,2
125,3
126,11
127,3
128,4
129,6
130,5
131,2
132,11
133,4
134,5
135,4
136,6
137,6
138,5
139,2
140,6
141,11
142,6
143,6
144,4
145,4
146,2
147,4
148,4
149,5
150,11
151,3
152,2
153,11
154,3
155,2
156,5
157,4
158,2
159,4
160,4
161,11
162,4
163,3
164,6
165,11
166,6
167,2
168,11
169,3
170,3
171,4
172,6
173,6
174,11
175,4
176,4
177,2
178,11
179,6
180,3
181,6
182,4
183,3
184,4
185,4
186,2
187,5
188,5
189,11
190,6
191,11
192,4
193,11
194,4
195,6
196,5
