R,food
1,2
2,2
3,2
4,3
5,11
6,5
7,3
8,2
9,4
10,5
11,3
12,3
13,11
14,11
15,5
16,3
17,5
18,3
19,4
20,5
21,4
22,3
23,4
24,5
25,5
26,5
27,2
28,11
29,2
30,5
31,4
32,5
33,5
34,5
35,5
36,11
37,4
38,5
39,5
40,5
41,5
42,6
43,2
44,4
45,3
46,11
47,5
48,11
49,11
50,11
51,5
52,5
53,2
54,4
55,3
56,11
57,11
58,2
59,4
60,5
61,5
62,11
63,11
64,11
65,11
66,3
67,4
68,4
69,11
70,3
71,4
72,3
73,4
74,4
75,5
76,11
77,11
78,11
79,11
80,4
81,4
82,6
83,11
84,4
85,2
86,2
87,4
88,3
89,5
90,5
91,5
92,5
93,4
94,5
95,4
96,5
97,6
98,6
99,11
100,11
101,3
102,2
103,3
104,4
105,4
106,3
107,3
108,3
109,3
110,2
111,4
112,3
113,2
114,5
115,2
116,2
117,3
118,2
119,4
120,3
121,4
122,4
123,3
124,11
125,11
126,4
127,5
128,2
129,4
130,2
131,3
132,2
133,3
134,2
135,2
136,2
137,6
138,3
139,4
140,6
141,5
142,6
143,5
144,11
145,2
146,4
147,4
148,2
149,2
150,4
151,2
152,5
153,2
154,3
155,11
156,2
157,2
158,3
159,3
160,4
161,3
162,3
163,6
164,5
165,4
166,2
167,11
168,2
169,3
170,2
171,3
172,11
173,11
174,3
175,2
176,3
177,4
178,5
179,2
180,3
181,4
182,3
183,4
184,1
185,5
186,3
187,2
188,2
189,3
190,2
191,4
192,5
193,11
194,5
195,4
196,2
