R,travel
1,4
2,6
3,5
4,11
5,2
6,4
7,11
8,4
9,2
10,11
11,2
12,11
13,4
14,3
15,6
16,3
17,2
18,4
19,3
20,2
21,3
22,11
23,2
24,4
25,5
26,2
27,11
28,3
29,11
30,3
31,2
32,3
33,3
34,3
35,3
36,3
37,11
38,2
39,4
40,4
41,2
42,6
43,3
44,4
45,4
46,11
47,3
48,3
49,2
50,3
51,3
52,3
53,2
54,11
55,3
56,3
57,5
58,4
59,2
60,1
61,2
62,2
63,11
64,11
65,3
66,11
67,11
68,3
69,2
70,3
71,3
72,5
73,3
74,11
75,2
76,3
77,11
78,4
79,11
80,11
81,5
82,2
83,6
84,11
85,2
86,11
87,2
88,11
89,6
90,2
91,2
92,4
93,5
94,4
95,4
96,3
97,2
98,3
99,6
100,2
101,11
102,3
103,4
104,4
105,4
106,4
107,4
108,4
109,6
110,5
111,2
112,2
113,2
114,2
115,11
116,11
117,5
118,11
119,4
120,11
121,4
122,11
123,11
124,3
125,2
126,2
127,6
128,2
129,2
130,5
131,4
132,11
133,4
134,4
135,5
136,11
137,3
138,6
139,4
140,6
141,4
142,6
143,6
144,6
145,6
146,3
147,4
148,3
149,5
150,6
151,6
152,2
153,11
154,6
155,3
156,11
157,3
158,6
159,5
160,2
161,4
162,4
163,2
164,6
165,11
166,11
167,3
168,3
169,2
170,4
171,6
172,6
173,2
174,6
175,11
176,4
177,11
178,4
179,2
180,11
181,3
182,3
183,6
184,4
185,4
186,4
187,5
188,4
189,5
190,3
191,4
192,2
193,6
194,6
195,6
196,4
