R,L
168,168
168,169
168,151
168,167
168,185
169,169
169,168
169,152
169,186
169,170
170,170
170,169
170,153
170,187
171,171
171,188
171,154
171,172
172,172
172,173
172,189
172,155
172,171
173,173
173,172
173,190
173,156
173,174
174,174
174,173
174,175
174,191
174,157
175,175
175,174
175,158
175,192
175,176
176,176
176,175
176,159
176,177
176,193
177,177
177,160
177,176
177,194
177,178
178,178
178,161
178,177
178,179
178,195
179,179
179,196
179,162
179,180
179,178
180,180
180,197
180,163
180,181
180,179
181,181
181,198
181,164
181,180
181,182
182,182
182,165
182,183
182,181
182,199
183,183
183,166
183,184
183,182
183,200
184,184
184,167
184,183
184,201
184,185
185,185
185,168
185,184
185,186
185,202
186,186
186,169
186,203
186,187
186,185
187,187
187,204
187,170
187,186
188,188
188,205
188,189
188,171
189,189
189,188
189,172
189,206
189,190
190,190
190,173
190,189
190,207
190,191
191,191
191,190
191,174
191,208
191,192
192,192
192,175
192,191
192,209
192,193
193,193
193,192
193,176
193,210
193,194
194,194
194,177
194,193
194,211
194,195
195,195
195,212
195,196
195,194
195,178
196,196
196,213
196,197
196,179
196,195
197,197
197,198
197,196
197,180
197,214
198,198
198,215
198,197
198,181
198,199
199,199
199,216
199,198
199,182
199,200
200,200
200,183
200,199
200,217
200,201
201,201
201,184
201,200
201,218
201,202
202,202
202,203
202,219
202,201
202,185
203,203
203,204
203,220
203,186
203,202
204,204
204,203
204,221
204,187
205,205
205,188
205,206
205,222
206,206
206,189
206,205
206,207
206,223
207,207
207,190
207,206
207,224
207,208
208,208
208,191
208,207
208,225
208,209
209,209
209,226
209,192
209,208
209,210
210,210
210,227
210,193
210,209
210,211
211,211
211,212
211,194
211,210
211,228
212,212
212,213
212,229
212,195
212,211
213,213
213,196
213,212
213,214
213,230
214,214
214,215
214,197
214,213
214,231
215,215
215,216
215,198
215,214
215,232
216,216
216,215
216,199
216,233
216,217
217,217
217,216
217,200
217,234
217,218
218,218
218,235
218,219
218,201
218,217
219,219
219,236
219,220
219,202
219,218
220,220
220,237
220,203
220,221
220,219
221,221
221,238
221,204
221,220
222,222
222,205
222,239
222,223
223,223
223,206
223,222
223,240
223,224
224,224
224,207
224,223
224,241
224,225
225,225
225,242
225,226
225,224
225,208
226,226
226,243
226,227
226,225
226,209
227,227
227,226
227,210
227,244
227,228
228,228
228,227
228,245
228,229
228,211
229,229
229,212
229,246
229,230
229,228
230,230
230,213
230,247
230,231
230,229
231,231
231,248
231,214
231,230
231,232
232,232
232,215
232,231
232,249
232,233
233,233
233,216
233,232
233,250
233,234
234,234
234,235
234,251
234,217
234,233
235,235
235,236
235,252
235,218
235,234
236,236
236,235
236,253
236,237
236,219
237,237
237,236
237,254
237,238
237,220
238,238
238,255
238,237
238,221
239,239
239,222
239,256
239,240
240,240
240,223
240,239
240,241
240,257
241,241
241,258
241,242
241,224
241,240
242,242
242,243
242,259
242,225
242,241
243,243
243,226
243,242
243,260
243,244
244,244
244,227
244,243
244,245
244,261
245,245
245,262
245,246
245,228
245,244
246,246
246,247
246,263
246,229
246,245
247,247
247,264
247,248
247,230
247,246
248,248
248,265
248,231
248,247
248,249
249,249
249,248
249,232
249,266
249,250
250,250
250,267
250,251
250,233
250,249
251,251
251,268
251,252
251,234
251,250
252,252
252,235
252,253
252,269
252,251
253,253
253,236
253,254
253,270
253,252
254,254
254,255
254,237
254,253
254,271
255,255
255,238
255,254
255,272
256,256
256,239
256,273
256,257
257,257
257,274
257,258
257,256
257,240
258,258
258,275
258,259
258,241
258,257
259,259
259,258
259,242
259,276
259,260
260,260
260,243
260,259
260,277
260,261
261,261
261,278
261,262
261,260
261,244
262,262
262,279
262,263
262,245
262,261
263,263
263,280
263,264
263,262
263,246
264,264
264,281
264,265
264,247
264,263
265,265
265,282
265,264
265,248
265,266
266,266
266,265
266,267
266,283
266,249
267,267
267,268
267,284
267,250
267,266
268,268
268,267
268,285
268,269
268,251
269,269
269,268
269,286
269,270
269,252
270,270
270,253
270,271
270,287
270,269
271,271
271,254
271,272
271,288
271,270
272,272
272,255
272,271
272,289
273,273
273,274
273,256
274,274
274,275
274,257
274,273
275,275
275,258
275,274
275,276
276,276
276,259
276,275
276,277
277,277
277,278
277,260
277,276
278,278
278,279
278,261
278,277
279,279
279,280
279,262
279,278
280,280
280,281
280,263
280,279
281,281
281,282
281,264
281,280
282,282
282,265
282,281
282,283
283,283
283,282
283,284
283,266
284,284
284,267
284,285
284,283
285,285
285,268
285,286
285,284
286,286
286,287
286,269
286,285
287,287
287,288
287,270
287,286
288,288
288,271
288,289
288,287
289,289
289,272
289,288
