R,L
1,1
1,2
1,13
2,2
2,1
2,14
2,3
3,3
3,2
3,4
3,15
4,4
4,16
4,5
4,3
5,5
5,6
5,17
5,4
6,6
6,5
6,18
6,7
7,7
7,6
7,8
7,19
8,8
8,20
8,9
8,7
9,9
9,10
9,21
9,8
10,10
10,9
10,22
10,11
11,11
11,10
11,12
11,23
12,12
12,24
12,11
13,13
13,1
13,25
13,14
14,14
14,2
14,13
14,26
14,15
15,15
15,27
15,16
15,14
15,3
16,16
16,28
16,17
16,4
16,15
17,17
17,16
17,5
17,29
17,18
18,18
18,6
18,17
18,30
18,19
19,19
19,31
19,20
19,18
19,7
20,20
20,32
20,21
20,8
20,19
21,21
21,20
21,9
21,33
21,22
22,22
22,10
22,21
22,34
22,23
23,23
23,35
23,22
23,24
23,11
24,24
24,36
24,12
24,23
25,25
25,37
25,13
25,26
26,26
26,27
26,14
26,25
26,38
27,27
27,28
27,39
27,15
27,26
28,28
28,16
28,27
28,29
28,40
29,29
29,17
29,28
29,30
29,41
30,30
30,42
30,31
30,18
30,29
31,31
31,43
31,32
31,19
31,30
32,32
32,44
32,20
32,31
32,33
33,33
33,45
33,21
33,32
33,34
34,34
34,35
34,22
34,33
34,46
35,35
35,47
35,36
35,34
35,23
36,36
36,35
36,48
36,24
37,37
37,25
37,49
37,38
38,38
38,37
38,50
38,39
38,26
39,39
39,27
39,51
39,40
39,38
40,40
40,28
40,52
40,41
40,39
41,41
41,53
41,42
41,29
41,40
42,42
42,54
42,43
42,30
42,41
43,43
43,55
43,44
43,42
43,31
44,44
44,56
44,45
44,43
44,32
45,45
45,44
45,33
45,57
45,46
46,46
46,45
46,47
46,58
46,34
47,47
47,35
47,48
47,46
47,59
48,48
48,36
48,47
48,60
49,49
49,37
49,50
49,61
50,50
50,62
50,51
50,38
50,49
51,51
51,52
51,63
51,39
51,50
52,52
52,64
52,53
52,40
52,51
53,53
53,54
53,65
53,41
53,52
54,54
54,66
54,55
54,42
54,53
55,55
55,56
55,67
55,43
55,54
56,56
56,44
56,55
56,68
56,57
57,57
57,45
57,56
57,58
57,69
58,58
58,70
58,46
58,57
58,59
59,59
59,47
59,60
59,58
59,71
60,60
60,48
60,72
60,59
61,61
61,73
61,62
61,49
62,62
62,74
62,63
62,50
62,61
63,63
63,75
63,64
63,62
63,51
64,64
64,76
64,65
64,52
64,63
65,65
65,77
65,66
65,64
65,53
66,66
66,78
66,67
66,54
66,65
67,67
67,66
67,55
67,79
67,68
68,68
68,56
68,67
68,80
68,69
69,69
69,81
69,70
69,68
69,57
70,70
70,82
70,58
70,69
70,71
71,71
71,70
71,83
71,72
71,59
72,72
72,60
72,84
72,71
73,73
73,74
73,85
73,61
74,74
74,86
74,75
74,62
74,73
75,75
75,87
75,76
75,63
75,74
76,76
76,77
76,64
76,75
76,88
77,77
77,78
77,89
77,65
77,76
78,78
78,66
78,77
78,90
78,79
79,79
79,67
79,78
79,91
79,80
80,80
80,81
80,68
80,79
80,92
81,81
81,82
81,93
81,69
81,80
82,82
82,70
82,81
82,83
82,94
83,83
83,82
83,95
83,84
83,71
84,84
84,83
84,96
84,72
85,85
85,97
85,86
85,73
86,86
86,98
86,87
86,74
86,85
87,87
87,86
87,75
87,99
87,88
88,88
88,87
88,100
88,89
88,76
89,89
89,77
89,88
89,101
89,90
90,90
90,78
90,89
90,102
90,91
91,91
91,90
91,79
91,103
91,92
92,92
92,91
92,104
92,93
92,80
93,93
93,81
93,92
93,105
93,94
94,94
94,82
94,93
94,95
94,106
95,95
95,83
95,107
95,96
95,94
96,96
96,108
96,84
96,95
97,97
97,98
97,109
97,85
98,98
98,86
98,97
98,110
98,99
99,99
99,87
99,98
99,100
99,111
100,100
100,88
100,99
100,112
100,101
101,101
101,89
101,100
101,102
101,113
102,102
102,90
102,101
102,114
102,103
103,103
103,91
103,102
103,104
103,115
104,104
104,92
104,103
104,116
104,105
105,105
105,93
105,104
105,106
105,117
106,106
106,107
106,94
106,105
106,118
107,107
107,108
107,119
107,95
107,106
108,108
108,120
108,96
108,107
109,109
109,97
109,110
109,121
110,110
110,98
110,122
110,109
110,111
111,111
111,123
111,110
111,99
111,112
112,112
112,100
112,124
112,111
112,113
113,113
113,125
113,112
113,101
113,114
114,114
114,102
114,113
114,115
114,126
115,115
115,114
115,103
115,116
115,127
116,116
116,104
116,115
116,117
116,128
117,117
117,116
117,105
117,118
117,129
118,118
118,119
118,106
118,130
118,117
119,119
119,120
119,107
119,118
119,131
120,120
120,108
120,119
120,132
121,121
121,133
121,109
121,122
122,122
122,123
122,134
122,110
122,121
123,123
123,122
123,135
123,111
123,124
124,124
124,123
124,125
124,136
124,112
125,125
125,124
125,113
125,137
125,126
126,126
126,125
126,114
126,127
126,138
127,127
127,115
127,126
127,139
127,128
128,128
128,116
128,127
128,129
128,140
129,129
129,141
129,117
129,130
129,128
130,130
130,142
130,118
130,131
130,129
131,131
131,143
131,119
131,130
131,132
132,132
132,120
132,131
132,144
133,133
133,134
133,121
134,134
134,133
134,122
134,135
135,135
135,123
135,134
135,136
136,136
136,135
136,124
136,137
137,137
137,125
137,136
137,138
138,138
138,137
138,126
138,139
139,139
139,127
139,138
139,140
140,140
140,141
140,139
140,128
141,141
141,142
141,129
141,140
142,142
142,143
142,141
142,130
143,143
143,142
143,131
143,144
144,144
144,143
144,132
