R,food
1,2
2,2
3,2
4,11
5,5
6,4
7,2
8,5
9,11
10,4
11,3
12,5
13,3
14,5
15,5
16,3
17,5
18,5
19,5
20,5
21,4
22,5
23,3
24,3
25,3
26,5
27,5
28,5
29,5
30,11
31,11
32,4
33,5
34,4
35,3
36,6
37,3
38,3
39,4
40,4
41,11
42,11
43,11
44,5
45,4
46,4
47,5
48,11
49,11
50,3
51,4
52,5
53,11
54,11
55,11
56,11
57,4
58,4
59,6
60,5
61,3
62,2
63,5
64,4
65,4
66,5
67,5
68,5
69,5
70,5
71,11
72,11
73,11
74,2
75,3
76,2
77,4
78,4
79,3
80,2
81,4
82,4
83,3
84,4
85,2
86,3
87,2
88,2
89,3
90,4
91,3
92,4
93,3
94,11
95,5
96,4
97,11
98,4
99,2
100,11
101,3
102,4
103,3
104,2
105,3
106,11
107,2
108,6
109,4
110,2
111,2
112,3
113,2
114,2
115,11
116,11
117,11
118,2
119,3
120,2
121,2
122,3
123,5
124,6
125,4
126,2
127,2
128,5
129,11
130,2
131,4
132,1
133,3
134,2
135,11
136,2
137,2
138,3
139,3
140,5
141,4
142,3
143,3
144,2
