R,travel
1,5
2,5
3,5
4,4
5,2
6,4
7,5
8,2
9,3
10,3
11,11
12,3
13,11
14,3
15,2
16,4
17,2
18,3
19,2
20,11
21,11
22,2
23,3
24,4
25,3
26,11
27,11
28,11
29,11
30,2
31,3
32,4
33,3
34,4
35,11
36,1
37,11
38,5
39,2
40,2
41,2
42,3
43,3
44,11
45,3
46,3
47,2
48,3
49,3
50,5
51,2
52,2
53,3
54,3
55,4
56,11
57,5
58,4
59,4
60,4
61,2
62,11
63,2
64,4
65,2
66,2
67,5
68,5
69,11
70,3
71,2
72,11
73,2
74,3
75,3
76,4
77,5
78,4
79,4
80,5
81,4
82,5
83,3
84,2
85,3
86,2
87,11
88,5
89,11
90,4
91,11
92,5
93,4
94,4
95,6
96,3
97,3
98,2
99,11
100,6
101,11
102,11
103,4
104,5
105,11
106,11
107,4
108,6
109,11
110,6
111,2
112,6
113,4
114,4
115,11
116,2
117,6
118,4
119,2
120,4
121,2
122,11
123,6
124,2
125,11
126,4
127,4
128,4
129,2
130,3
131,4
132,3
133,6
134,3
135,6
136,3
137,5
138,5
139,3
140,11
141,5
142,6
143,4
144,5
