R,residence
1,6
2,4
3,4
4,11
5,2
6,3
7,4
8,2
9,4
10,2
11,5
12,3
13,11
14,11
15,4
16,4
17,4
18,3
19,3
20,11
21,2
22,2
23,5
24,3
25,5
26,4
27,2
28,3
29,11
30,11
31,3
32,4
33,2
34,3
35,5
36,2
37,11
38,5
39,2
40,4
41,3
42,4
43,11
44,3
45,3
46,3
47,3
48,4
49,4
50,3
51,4
52,2
53,2
54,4
55,4
56,3
57,2
58,2
59,6
60,11
61,11
62,3
63,2
64,3
65,5
66,11
67,2
68,2
69,2
70,2
71,2
72,6
73,11
74,4
75,3
76,5
77,4
78,3
79,3
80,3
81,4
82,11
83,11
84,3
85,6
86,3
87,11
88,5
89,11
90,2
91,3
92,4
93,3
94,5
95,2
96,4
97,11
98,11
99,11
100,5
101,4
102,2
103,2
104,4
105,11
106,6
107,11
108,6
109,5
110,6
111,11
112,4
113,4
114,3
115,2
116,1
117,6
118,11
119,6
120,5
121,5
122,2
123,4
124,2
125,3
126,4
127,3
128,4
129,6
130,6
131,11
132,11
133,11
134,6
135,2
136,6
137,5
138,11
139,3
140,11
141,2
142,11
143,6
144,5
