R,college
1,4
2,3
3,3
4,7
5,3
6,4
7,4
8,4
9,2
10,7
11,2
12,4
13,7
14,4
15,2
16,7
17,7
18,7
19,7
20,4
21,7
22,3
23,4
24,4
25,2
26,3
27,2
28,2
29,7
30,2
31,2
32,4
33,4
34,4
35,3
36,4
37,3
38,3
39,7
40,3
41,2
42,2
43,2
44,2
45,7
46,7
47,4
48,4
49,7
50,3
51,3
52,2
53,1
54,2
55,2
56,2
57,2
58,4
59,4
60,4
61,4
62,3
63,3
64,2
65,2
66,2
67,2
68,2
69,7
70,4
71,7
72,4
73,4
74,3
75,3
76,7
77,7
78,2
79,3
80,3
81,3
82,4
83,7
84,4
85,4
86,4
87,7
88,7
89,7
90,2
91,7
92,3
93,3
94,4
95,4
96,4
97,4
98,4
99,7
100,4
101,2
102,7
103,4
104,3
105,2
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,3
114,4
115,4
116,4
117,4
118,4
119,3
120,4
121,3
122,4
123,2
124,4
125,4
126,4
127,4
128,2
129,4
130,4
131,4
132,4
133,2
134,4
135,4
136,4
137,7
138,7
139,4
140,3
141,7
142,4
143,7
144,4
