R,outdoors
1,2
2,4
3,11
4,3
5,11
6,2
7,3
8,5
9,5
10,4
11,4
12,4
13,5
14,4
15,4
16,5
17,11
18,3
19,5
20,5
21,11
22,5
23,2
24,5
25,4
26,4
27,5
28,3
29,3
30,3
31,4
32,3
33,3
34,2
35,11
36,11
37,11
38,5
39,11
40,4
41,2
42,2
43,2
44,4
45,2
46,3
47,4
48,11
49,3
50,11
51,4
52,5
53,4
54,3
55,2
56,3
57,3
58,2
59,3
60,3
61,5
62,4
63,4
64,3
65,5
66,4
67,3
68,11
69,2
70,4
71,3
72,2
73,2
74,11
75,5
76,3
77,11
78,3
79,5
80,11
81,11
82,4
83,5
84,4
85,5
86,5
87,11
88,11
89,11
90,11
91,11
92,11
93,4
94,2
95,4
96,4
97,5
98,2
99,2
100,1
101,11
102,3
103,11
104,5
105,2
106,2
107,3
108,2
109,5
110,11
111,3
112,2
113,3
114,11
115,2
116,11
117,4
118,6
119,2
120,5
121,5
122,4
123,2
124,5
125,2
126,11
127,11
128,4
129,2
130,5
131,3
132,5
133,5
134,4
135,3
136,3
137,4
138,11
139,3
140,3
141,2
142,2
143,2
144,5
