R,nightlife
1,11
2,3
3,3
4,11
5,4
6,2
7,11
8,5
9,11
10,3
11,3
12,11
13,3
14,4
15,11
16,4
17,11
18,2
19,4
20,3
21,4
22,3
23,2
24,5
25,2
26,4
27,4
28,4
29,11
30,11
31,2
32,3
33,11
34,4
35,2
36,11
37,5
38,4
39,4
40,4
41,1
42,2
43,2
44,2
45,11
46,2
47,6
48,5
49,5
50,11
51,4
52,4
53,2
54,3
55,2
56,2
57,5
58,4
59,2
60,6
61,11
62,11
63,4
64,4
65,11
66,11
67,3
68,2
69,3
70,4
71,6
72,11
73,6
74,4
75,11
76,3
77,3
78,3
79,2
80,2
81,3
82,3
83,4
84,3
85,6
86,11
87,5
88,3
89,3
90,3
91,3
92,2
93,2
94,6
95,5
96,2
97,4
98,6
99,3
100,5
101,3
102,11
103,2
104,2
105,11
106,11
107,11
108,6
109,6
110,6
111,4
112,11
113,2
114,3
115,4
116,4
117,2
118,4
119,4
120,2
121,5
122,6
123,6
124,11
125,4
126,3
127,4
128,5
129,6
130,4
131,2
132,3
133,5
134,6
135,6
136,3
137,11
138,11
139,5
140,3
141,5
142,2
143,3
144,2
