R,event
1,3
2,3
3,2
4,5
5,5
6,3
7,3
8,3
9,3
10,3
11,2
12,3
13,3
14,5
15,5
16,3
17,2
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,5
27,5
28,5
29,5
30,5
31,2
32,3
33,3
34,5
35,5
36,3
37,3
38,2
39,3
40,5
41,5
42,5
43,5
44,3
45,2
46,3
47,3
48,1
49,3
50,3
51,3
52,5
53,5
54,5
55,5
56,5
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,2
65,3
66,5
67,5
68,2
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,5
78,3
79,3
80,3
81,2
82,5
83,2
84,3
85,3
86,3
87,3
88,3
89,3
90,2
91,3
92,2
93,2
94,5
95,3
96,3
97,3
98,3
99,3
100,5
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,5
116,3
117,3
118,3
119,5
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
