R,arts
1,3
2,6
3,11
4,11
5,11
6,4
7,3
8,4
9,6
10,11
11,2
12,6
13,3
14,4
15,11
16,11
17,5
18,3
19,11
20,2
21,3
22,4
23,4
24,4
25,4
26,11
27,2
28,2
29,2
30,2
31,11
32,11
33,11
34,4
35,2
36,6
37,4
38,4
39,11
40,2
41,1
42,2
43,2
44,3
45,4
46,4
47,4
48,2
49,2
50,2
51,3
52,11
53,2
54,2
55,2
56,2
57,3
58,11
59,6
60,3
61,6
62,4
63,3
64,2
65,3
66,2
67,11
68,2
69,2
70,3
71,6
72,6
73,3
74,11
75,3
76,11
77,2
78,4
79,4
80,4
81,11
82,2
83,3
84,6
85,3
86,6
87,3
88,4
89,11
90,3
91,4
92,11
93,4
94,2
95,11
96,6
97,2
98,3
99,4
100,2
101,4
102,11
103,3
104,11
105,3
106,11
107,3
108,6
109,4
110,3
111,6
112,11
113,5
114,6
115,4
116,6
117,6
118,6
119,6
120,4
121,6
122,6
123,6
124,6
125,2
126,11
127,4
128,11
129,6
130,3
131,3
132,6
133,6
134,6
135,2
136,4
137,11
138,4
139,3
140,11
141,3
142,3
143,6
144,4
