R,shop
1,5
2,3
3,11
4,4
5,4
6,4
7,4
8,2
9,2
10,4
11,4
12,3
13,11
14,4
15,4
16,2
17,4
18,5
19,3
20,5
21,2
22,11
23,5
24,2
25,11
26,4
27,3
28,3
29,4
30,4
31,4
32,11
33,4
34,3
35,5
36,6
37,2
38,2
39,11
40,11
41,2
42,2
43,11
44,5
45,11
46,5
47,11
48,5
49,11
50,3
51,5
52,4
53,3
54,11
55,11
56,3
57,11
58,4
59,2
60,3
61,3
62,11
63,4
64,4
65,5
66,4
67,4
68,11
69,4
70,3
71,4
72,11
73,6
74,5
75,2
76,11
77,3
78,3
79,11
80,11
81,11
82,4
83,2
84,6
85,2
86,3
87,3
88,3
89,11
90,3
91,3
92,2
93,2
94,5
95,2
96,6
97,4
98,2
99,5
100,6
101,4
102,3
103,4
104,3
105,4
106,6
107,3
108,6
109,1
110,2
111,4
112,6
113,6
114,2
115,3
116,3
117,6
118,2
119,11
120,11
121,2
122,2
123,11
124,2
125,6
126,11
127,2
128,3
129,6
130,2
131,4
132,6
133,5
134,11
135,6
136,3
137,3
138,2
139,2
140,3
141,5
142,11
143,3
144,2
