R,professional
1,5
2,11
3,4
4,2
5,11
6,3
7,4
8,4
9,2
10,5
11,5
12,2
13,3
14,2
15,4
16,5
17,3
18,2
19,3
20,2
21,3
22,2
23,4
24,6
25,11
26,2
27,11
28,4
29,2
30,3
31,3
32,3
33,2
34,2
35,11
36,6
37,3
38,5
39,4
40,5
41,3
42,11
43,2
44,2
45,4
46,3
47,2
48,2
49,2
50,4
51,3
52,11
53,2
54,2
55,2
56,3
57,11
58,11
59,3
60,2
61,3
62,11
63,3
64,4
65,2
66,11
67,3
68,11
69,4
70,11
71,3
72,2
73,5
74,3
75,4
76,4
77,4
78,3
79,4
80,4
81,3
82,3
83,5
84,4
85,11
86,4
87,5
88,11
89,3
90,3
91,4
92,5
93,5
94,2
95,3
96,5
97,3
98,6
99,5
100,6
101,3
102,4
103,11
104,5
105,4
106,6
107,4
108,2
109,4
110,5
111,11
112,4
113,11
114,5
115,4
116,4
117,1
118,11
119,11
120,11
121,5
122,11
123,4
124,2
125,5
126,4
127,5
128,2
129,6
130,4
131,11
132,3
133,2
134,3
135,2
136,4
137,5
138,11
139,5
140,11
141,11
142,11
143,6
144,5
