R,residence
1,4
2,11
3,3
4,2
5,3
6,3
7,4
8,11
9,2
10,4
11,3
12,4
13,2
14,11
15,11
16,3
17,2
18,4
19,4
20,2
21,6
22,3
23,3
24,5
25,2
26,2
27,3
28,11
29,11
30,5
31,5
32,3
33,5
34,4
35,11
36,5
37,11
38,4
39,2
40,1
41,5
42,5
43,11
44,2
45,5
46,3
47,4
48,5
49,11
