R,L
1,1
1,2
1,8
2,2
2,1
2,9
2,3
3,3
3,2
3,4
3,10
4,4
4,11
4,5
4,3
5,5
5,6
5,12
5,4
6,6
6,5
6,13
6,7
7,7
7,6
7,14
8,8
8,1
8,15
8,9
9,9
9,2
9,8
9,16
9,10
10,10
10,17
10,11
10,9
10,3
11,11
11,18
11,12
11,4
11,10
12,12
12,11
12,5
12,19
12,13
13,13
13,6
13,12
13,20
13,14
14,14
14,21
14,13
14,7
15,15
15,22
15,8
15,16
16,16
16,17
16,9
16,15
16,23
17,17
17,18
17,24
17,10
17,16
18,18
18,11
18,17
18,19
18,25
19,19
19,12
19,18
19,20
19,26
20,20
20,27
20,21
20,13
20,19
21,21
21,28
21,14
21,20
22,22
22,15
22,29
22,23
23,23
23,22
23,30
23,24
23,16
24,24
24,17
24,31
24,25
24,23
25,25
25,18
25,32
25,26
25,24
26,26
26,33
26,27
26,19
26,25
27,27
27,34
27,28
27,20
27,26
28,28
28,35
28,27
28,21
29,29
29,22
29,30
29,36
30,30
30,37
30,31
30,23
30,29
31,31
31,32
31,38
31,24
31,30
32,32
32,39
32,33
32,25
32,31
33,33
33,34
33,40
33,26
33,32
34,34
34,41
34,35
34,27
34,33
35,35
35,42
35,28
35,34
36,36
36,43
36,37
36,29
37,37
37,44
37,38
37,30
37,36
38,38
38,45
38,39
38,37
38,31
39,39
39,46
39,40
39,32
39,38
40,40
40,47
40,41
40,39
40,33
41,41
41,48
41,42
41,34
41,40
42,42
42,41
42,35
42,49
43,43
43,44
43,36
44,44
44,45
44,37
44,43
45,45
45,46
45,38
45,44
46,46
46,47
46,39
46,45
47,47
47,48
47,40
47,46
48,48
48,41
48,47
48,49
49,49
49,42
49,48
