R,professional
1,2
2,3
3,4
4,3
5,2
6,5
7,11
8,4
9,5
10,3
11,3
12,2
13,2
14,2
15,2
16,11
17,2
18,2
19,3
20,4
21,1
22,4
23,11
24,11
25,4
26,4
27,5
28,11
29,11
30,5
31,4
32,11
33,5
34,11
35,3
36,5
37,4
38,3
39,5
40,11
41,4
42,2
43,3
44,3
45,5
46,5
47,3
48,11
49,6
