R,food
1,3
2,4
3,11
4,4
5,5
6,4
7,5
8,4
9,5
10,11
11,11
12,5
13,4
14,11
15,3
16,5
17,6
18,11
19,11
20,5
21,11
22,2
23,3
24,5
25,11
26,5
27,3
28,4
29,3
30,2
31,3
32,4
33,3
34,5
35,11
36,3
37,1
38,3
39,3
40,4
41,2
42,2
43,2
44,4
45,2
46,2
47,5
48,2
49,2
