R,travel
1,5
2,3
3,2
4,4
5,2
6,3
7,4
8,11
9,3
10,2
11,2
12,3
13,11
14,3
15,5
16,1
17,2
18,4
19,11
20,11
21,2
22,3
23,3
24,3
25,3
26,5
27,5
28,2
29,2
30,5
31,5
32,5
33,5
34,11
35,2
36,11
37,11
38,3
39,11
40,11
41,4
42,4
43,4
44,6
45,11
46,5
47,4
48,4
49,4
