R,shop
1,4
2,4
3,4
4,5
5,11
6,4
7,2
8,3
9,11
10,4
11,11
12,5
13,4
14,4
15,5
16,11
17,4
18,3
19,11
20,2
21,2
22,2
23,3
24,2
25,11
26,5
27,5
28,5
29,4
30,5
31,11
32,4
33,5
34,2
35,2
36,11
37,4
38,11
39,3
40,2
41,3
42,11
43,11
44,5
45,11
46,11
47,4
48,11
49,5
50,5
51,11
52,2
53,3
54,3
55,3
56,4
57,3
58,11
59,2
60,6
61,4
62,4
63,4
64,11
65,3
66,3
67,2
68,3
69,2
70,5
71,1
72,11
73,6
74,5
75,3
76,5
77,4
78,3
79,11
80,4
81,2
82,2
83,6
84,11
85,3
86,2
87,3
88,2
89,3
90,5
91,5
92,3
93,3
94,4
95,2
96,2
97,3
98,5
99,4
100,2
