R,residence
1,11
2,11
3,11
4,2
5,4
6,11
7,2
8,4
9,4
10,4
11,3
12,3
13,3
14,4
15,3
16,2
17,2
18,2
19,2
20,3
21,5
22,11
23,3
24,4
25,11
26,11
27,4
28,3
29,11
30,4
31,4
32,4
33,2
34,2
35,4
36,11
37,2
38,2
39,2
40,5
41,11
42,3
43,3
44,5
45,11
46,2
47,2
48,3
49,2
50,6
51,3
52,5
53,11
54,11
55,4
56,4
57,4
58,4
59,11
60,11
61,5
62,3
63,11
64,5
65,3
66,3
67,4
68,3
69,5
70,4
71,5
72,11
73,11
74,4
75,3
76,3
77,3
78,6
79,11
80,6
81,5
82,3
83,1
84,2
85,3
86,2
87,2
88,5
89,5
90,11
91,5
92,2
93,6
94,5
95,5
96,4
97,4
98,2
99,6
100,5
