R,event
1,3
2,5
3,3
4,2
5,3
6,3
7,3
8,3
9,5
10,3
11,5
12,2
13,2
14,3
15,5
16,5
17,3
18,3
19,3
20,3
21,3
22,3
23,2
24,2
25,1
26,2
27,5
28,3
29,2
30,2
31,3
32,5
33,2
34,2
35,2
36,2
37,2
38,3
39,3
40,3
41,3
42,3
43,3
44,2
45,2
46,2
47,5
48,3
49,3
50,3
51,3
52,3
53,3
54,2
55,5
56,3
57,2
58,2
59,5
60,3
61,3
62,3
63,5
64,3
65,5
66,3
67,3
68,5
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,5
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,5
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
