R,L
1,1
1,2
1,11
2,2
2,1
2,12
2,3
3,3
3,2
3,4
3,13
4,4
4,14
4,5
4,3
5,5
5,6
5,15
5,4
6,6
6,5
6,16
6,7
7,7
7,6
7,8
7,17
8,8
8,18
8,9
8,7
9,9
9,10
9,19
9,8
10,10
10,9
10,20
11,11
11,1
11,21
11,12
12,12
12,2
12,11
12,22
12,13
13,13
13,23
13,14
13,12
13,3
14,14
14,24
14,15
14,4
14,13
15,15
15,14
15,5
15,25
15,16
16,16
16,6
16,15
16,26
16,17
17,17
17,27
17,18
17,16
17,7
18,18
18,28
18,19
18,8
18,17
19,19
19,18
19,9
19,29
19,20
20,20
20,10
20,19
20,30
21,21
21,31
21,11
21,22
22,22
22,23
22,12
22,21
22,32
23,23
23,24
23,33
23,13
23,22
24,24
24,14
24,23
24,25
24,34
25,25
25,15
25,24
25,26
25,35
26,26
26,36
26,27
26,16
26,25
27,27
27,37
27,28
27,17
27,26
28,28
28,38
28,18
28,27
28,29
29,29
29,39
29,19
29,28
29,30
30,30
30,20
30,29
30,40
31,31
31,21
31,41
31,32
32,32
32,31
32,42
32,33
32,22
33,33
33,23
33,43
33,34
33,32
34,34
34,24
34,44
34,35
34,33
35,35
35,45
35,36
35,25
35,34
36,36
36,46
36,37
36,26
36,35
37,37
37,47
37,38
37,36
37,27
38,38
38,48
38,39
38,37
38,28
39,39
39,38
39,29
39,49
39,40
40,40
40,39
40,50
40,30
41,41
41,31
41,42
41,51
42,42
42,52
42,43
42,32
42,41
43,43
43,44
43,53
43,33
43,42
44,44
44,54
44,45
44,34
44,43
45,45
45,46
45,55
45,35
45,44
46,46
46,56
46,47
46,36
46,45
47,47
47,48
47,57
47,37
47,46
48,48
48,38
48,47
48,58
48,49
49,49
49,39
49,48
49,50
49,59
50,50
50,60
50,40
50,49
51,51
51,61
51,52
51,41
52,52
52,62
52,53
52,42
52,51
53,53
53,63
53,54
53,52
53,43
54,54
54,64
54,55
54,44
54,53
55,55
55,65
55,56
55,54
55,45
56,56
56,66
56,57
56,46
56,55
57,57
57,56
57,47
57,67
57,58
58,58
58,48
58,57
58,68
58,59
59,59
59,69
59,60
59,58
59,49
60,60
60,70
60,50
60,59
61,61
61,62
61,71
61,51
62,62
62,72
62,63
62,52
62,61
63,63
63,73
63,64
63,53
63,62
64,64
64,65
64,54
64,63
64,74
65,65
65,66
65,75
65,55
65,64
66,66
66,56
66,65
66,76
66,67
67,67
67,57
67,66
67,77
67,68
68,68
68,69
68,58
68,67
68,78
69,69
69,70
69,79
69,59
69,68
70,70
70,60
70,69
70,80
71,71
71,81
71,72
71,61
72,72
72,82
72,73
72,62
72,71
73,73
73,72
73,63
73,83
73,74
74,74
74,73
74,84
74,75
74,64
75,75
75,65
75,74
75,85
75,76
76,76
76,66
76,75
76,86
76,77
77,77
77,76
77,67
77,87
77,78
78,78
78,77
78,88
78,79
78,68
79,79
79,69
79,78
79,89
79,80
80,80
80,70
80,79
80,90
81,81
81,82
81,91
81,71
82,82
82,72
82,81
82,92
82,83
83,83
83,73
83,82
83,84
83,93
84,84
84,74
84,83
84,94
84,85
85,85
85,75
85,84
85,86
85,95
86,86
86,76
86,85
86,96
86,87
87,87
87,77
87,86
87,88
87,97
88,88
88,78
88,87
88,98
88,89
89,89
89,79
89,88
89,90
89,99
90,90
90,80
90,89
90,100
91,91
91,81
91,92
92,92
92,82
92,91
92,93
93,93
93,92
93,83
93,94
94,94
94,84
94,93
94,95
95,95
95,94
95,85
95,96
96,96
96,86
96,95
96,97
97,97
97,96
97,87
97,98
98,98
98,88
98,97
98,99
99,99
99,98
99,89
99,100
100,100
100,90
100,99
