R,outdoors
1,11
2,3
3,5
4,2
5,2
6,3
7,6
8,4
9,4
10,4
11,11
12,5
13,11
14,4
15,3
16,5
17,5
18,4
19,3
20,11
21,5
22,11
23,4
24,4
25,3
26,2
27,2
28,2
29,3
30,11
31,2
32,11
33,11
34,3
35,3
36,2
37,5
38,2
39,11
40,4
41,5
42,3
43,5
44,4
45,4
46,4
47,4
48,2
49,2
50,2
51,2
52,4
53,5
54,4
55,3
56,5
57,11
58,3
59,5
60,2
61,4
62,11
63,11
64,11
65,4
66,11
67,5
68,3
69,2
70,3
71,5
72,4
73,1
74,2
75,11
76,11
77,5
78,2
79,11
80,3
81,5
82,3
83,11
84,3
85,4
86,4
87,3
88,5
89,4
90,5
91,11
92,5
93,3
94,3
95,11
96,3
97,2
98,2
99,2
100,5
