R,nightlife
1,11
2,3
3,3
4,4
5,2
6,2
7,4
8,3
9,3
10,3
11,11
12,4
13,4
14,11
15,11
16,4
17,2
18,4
19,3
20,4
21,4
22,4
23,4
24,3
25,2
26,3
27,2
28,3
29,4
30,5
31,5
32,11
33,4
34,2
35,2
36,2
37,11
38,5
39,11
40,5
41,3
42,4
43,11
44,11
45,11
46,2
47,3
48,11
49,5
50,5
51,6
52,11
53,5
54,3
55,2
56,2
57,3
58,2
59,5
60,11
61,5
62,4
63,4
64,11
65,11
66,1
67,2
68,4
69,4
70,2
71,5
72,5
73,11
74,2
75,3
76,3
77,2
78,11
79,11
80,3
81,5
82,6
83,6
84,2
85,11
86,4
87,5
88,4
89,3
90,2
91,5
92,6
93,4
94,3
95,11
96,5
97,3
98,5
99,3
100,2
