R,travel
1,5
2,5
3,5
4,3
5,4
6,5
7,2
8,3
9,11
10,2
11,11
12,2
13,3
14,2
15,11
16,3
17,11
18,11
19,11
20,4
21,4
22,11
23,3
24,3
25,2
26,3
27,4
28,3
29,11
30,2
31,4
32,11
33,1
34,2
35,2
36,3
37,5
38,5
39,3
40,2
41,3
42,2
43,3
44,2
45,2
46,5
47,4
48,11
49,2
50,2
51,2
52,3
53,11
54,5
55,5
56,4
57,4
58,5
59,11
60,2
61,2
62,11
63,4
64,4
65,4
66,4
67,5
68,4
69,5
70,11
71,4
72,2
73,6
74,4
75,11
76,3
77,5
78,6
79,11
80,3
81,3
82,4
83,11
84,4
85,4
86,4
87,3
88,11
89,3
90,3
91,5
92,4
93,3
94,5
95,5
96,11
97,11
98,2
99,5
100,5
