R,arts
1,5
2,3
3,4
4,2
5,4
6,11
7,11
8,4
9,2
10,6
11,4
12,11
13,2
14,3
15,11
16,11
17,11
18,3
19,6
20,4
21,4
22,4
23,2
24,2
25,1
26,2
27,11
28,5
29,11
30,2
31,3
32,11
33,3
34,2
35,2
36,2
37,2
38,3
39,6
40,11
41,5
42,3
43,3
44,2
45,2
46,2
47,2
48,3
49,4
50,6
51,4
52,3
53,3
54,2
55,4
56,4
57,11
58,2
59,2
60,6
61,4
62,5
63,11
64,11
65,11
66,5
67,11
68,11
69,2
70,6
71,11
72,6
73,11
74,5
75,5
76,4
77,3
78,4
79,4
80,4
81,5
82,6
83,6
84,3
85,3
86,3
87,3
88,4
89,3
90,6
91,6
92,6
93,11
94,4
95,3
96,3
97,11
98,3
99,4
100,4
