R,food
1,2
2,3
3,2
4,11
5,4
6,2
7,5
8,5
9,4
10,4
11,4
12,5
13,5
14,5
15,5
16,5
17,11
18,5
19,5
20,4
21,4
22,4
23,4
24,11
25,11
26,11
27,4
28,4
29,5
30,11
31,11
32,3
33,5
34,11
35,11
36,11
37,5
38,4
39,11
40,5
41,2
42,4
43,3
44,5
45,11
46,11
47,5
48,4
49,11
50,11
51,5
52,3
53,2
54,4
55,5
56,3
57,4
58,4
59,3
60,11
61,3
62,2
63,2
64,3
65,4
66,3
67,3
68,3
69,11
70,4
71,11
72,1
73,5
74,3
75,3
76,2
77,2
78,3
79,2
80,2
81,3
82,3
83,6
84,4
85,2
86,3
87,11
88,2
89,3
90,2
91,2
92,3
93,3
94,2
95,4
96,2
97,5
98,5
99,2
100,2
