R,college
1,5
2,3
3,9
4,5
5,4
6,5
7,5
8,2
9,2
10,5
11,3
12,4
13,2
14,9
15,9
16,2
17,5
18,3
19,3
20,5
21,9
22,9
23,2
24,9
25,2
26,2
27,3
28,5
29,3
30,5
31,9
32,3
33,9
34,2
35,1
36,2
37,2
38,2
39,3
40,5
41,5
42,4
43,9
44,2
45,2
46,2
47,3
48,2
49,9
50,5
51,5
52,4
53,9
54,9
55,2
56,3
57,3
58,5
59,4
60,2
61,5
62,9
63,3
64,9
65,2
66,3
67,3
68,5
69,5
70,5
71,5
72,5
73,5
74,3
75,4
76,5
77,3
78,9
79,5
80,5
81,3
82,3
83,5
84,5
85,5
86,5
87,9
88,5
89,5
90,3
91,2
92,9
93,5
94,9
95,3
96,5
97,9
98,5
99,3
100,5
