R,ev
1,5
2,3
3,3
4,5
5,5
6,5
7,4
8,5
9,2
10,3
11,5
12,2
13,9
14,5
15,9
16,5
17,5
18,5
19,2
20,5
21,3
22,5
23,2
24,5
25,2
26,1
27,9
28,3
29,9
30,3
31,2
32,3
33,5
34,9
35,4
36,9
37,3
38,9
39,2
40,2
41,3
42,4
43,5
44,5
45,9
46,5
47,5
48,5
49,5
50,2
51,3
52,9
53,9
54,3
55,9
56,2
57,9
58,5
59,2
60,3
