R,L
1,1
1,2
1,6
2,2
2,1
2,7
2,3
3,3
3,2
3,4
3,8
4,4
4,9
4,5
4,3
5,5
5,10
5,4
6,6
6,1
6,11
6,7
7,7
7,2
7,6
7,12
7,8
8,8
8,13
8,9
8,7
8,3
9,9
9,14
9,10
9,4
9,8
10,10
10,9
10,5
10,15
11,11
11,16
11,6
11,12
12,12
12,13
12,7
12,11
12,17
13,13
13,14
13,18
13,8
13,12
14,14
14,9
14,13
14,15
14,19
15,15
15,10
15,14
15,20
16,16
16,11
16,21
16,17
17,17
17,16
17,22
17,18
17,12
18,18
18,13
18,23
18,19
18,17
19,19
19,14
19,24
19,20
19,18
20,20
20,25
20,15
20,19
21,21
21,16
21,22
22,22
22,23
22,17
22,21
23,23
23,24
23,18
23,22
24,24
24,25
24,19
24,23
25,25
25,20
25,24
