R,L
1,1
1,3
1,6
1,9
1,110
2,2
3,3
3,1
4,4
4,5
4,6
4,54
4,12
4,56
4,57
4,61
4,46
4,77
4,78
4,81
4,85
4,89
4,93
4,94
4,47
4,29
4,97
4,98
4,107
4,38
4,108
4,14
4,110
4,111
4,41
4,31
4,35
4,190
4,20
4,40
4,26
4,196
4,27
4,34
4,25
4,114
4,74
4,13
4,43
4,122
4,180
4,186
4,73
4,137
4,37
4,16
4,136
4,32
5,5
5,4
5,6
5,16
5,12
5,24
5,26
5,27
5,54
5,57
5,81
5,47
5,137
5,104
5,34
5,77
5,114
5,38
5,196
5,37
5,35
5,41
5,64
5,13
5,40
5,29
5,136
5,73
5,186
5,180
5,144
5,190
5,110
5,20
5,19
6,6
6,1
6,4
6,5
6,9
6,54
6,70
6,14
6,12
6,73
6,57
6,74
6,78
6,56
6,41
6,13
6,37
6,142
6,107
6,109
6,81
6,136
6,31
6,110
6,111
6,102
6,104
6,77
6,197
6,38
6,190
6,121
6,181
7,7
8,8
9,9
9,1
9,6
9,81
10,10
10,33
11,11
12,12
12,13
12,14
12,16
12,19
12,20
12,5
12,24
12,25
12,26
12,27
12,29
12,31
12,32
12,34
12,35
12,37
12,38
12,40
12,41
12,43
12,47
12,49
12,50
12,53
12,54
12,4
12,57
12,6
12,73
12,74
12,110
12,114
12,121
12,136
12,137
12,98
12,93
12,186
12,104
12,77
12,89
12,200
12,180
12,196
12,94
12,64
12,102
12,190
12,81
13,13
13,12
13,14
13,20
13,122
13,43
13,35
13,74
13,57
13,31
13,110
13,76
13,54
13,104
13,4
13,29
13,40
13,5
13,107
13,190
13,37
13,36
13,196
13,6
13,136
13,73
13,81
13,41
13,34
13,23
13,38
13,77
13,111
13,78
13,70
13,46
14,14
14,12
14,13
14,16
14,19
14,20
14,54
14,6
14,74
14,38
14,108
14,78
14,4
14,109
14,41
14,35
14,27
14,114
14,121
14,186
14,137
14,24
14,61
14,81
14,180
14,32
14,104
14,47
14,26
14,37
14,200
14,102
14,34
14,58
14,136
14,29
14,196
14,94
14,85
14,77
14,25
14,190
14,76
15,15
15,46
16,16
16,12
16,14
16,19
16,20
16,5
16,24
16,26
16,27
16,47
16,49
16,50
16,53
16,64
16,54
16,29
16,114
16,130
16,35
16,40
16,93
16,31
16,98
16,4
16,186
16,196
17,17
17,18
18,18
18,17
18,200
18,114
18,53
19,19
19,12
19,14
19,16
19,20
19,35
19,27
19,29
19,47
19,49
19,50
19,52
19,53
19,114
19,186
19,64
19,200
19,5
19,187
20,20
20,12
20,13
20,14
20,16
20,19
20,29
20,26
20,136
20,137
20,142
20,98
20,190
20,4
20,35
20,196
20,32
20,104
20,89
20,74
20,57
20,31
20,47
20,114
20,53
20,43
20,34
20,24
20,200
20,70
20,38
20,122
20,41
20,93
20,78
20,108
20,94
20,64
20,25
20,180
20,5
21,21
21,24
21,37
21,102
21,180
21,73
21,79
22,22
22,26
22,98
22,172
22,174
23,23
23,41
23,122
23,43
23,35
23,13
23,36
23,37
23,38
23,40
23,126
23,151
23,46
24,24
24,16
24,5
24,12
24,21
24,27
24,38
24,41
24,81
24,14
24,180
24,114
24,20
24,34
24,31
24,64
24,57
24,73
24,197
24,51
24,78
24,110
24,70
24,132
24,186
25,25
25,12
25,4
25,34
25,78
25,70
25,85
25,56
25,41
25,14
25,104
25,61
25,108
25,190
25,54
25,196
25,81
25,20
25,31
25,89
25,73
25,137
25,136
25,38
25,46
25,180
25,57
26,26
26,16
26,5
26,12
26,22
26,20
26,136
26,137
26,98
26,158
26,29
26,89
26,93
26,40
26,4
26,35
26,195
26,196
26,14
26,47
26,94
26,153
26,104
26,126
26,60
26,92
26,176
26,85
26,73
26,174
26,78
26,31
26,147
26,95
26,51
27,27
27,16
27,5
27,12
27,24
27,31
27,32
27,34
27,35
27,19
27,37
27,29
27,47
27,49
27,50
27,52
27,53
27,114
27,14
27,121
27,186
27,187
27,137
27,4
27,200
27,54
27,196
27,64
27,104
27,102
28,28
29,29
29,20
29,12
29,31
29,32
29,34
29,35
29,19
29,27
29,38
29,40
29,41
29,43
29,46
29,89
29,93
29,94
29,85
29,47
29,4
29,98
29,26
29,16
29,13
29,54
29,114
29,14
29,136
29,78
29,104
29,196
29,77
29,5
29,64
29,53
29,81
29,102
29,200
30,30
31,31
31,32
31,34
31,35
31,27
31,12
31,29
31,38
31,41
31,78
31,4
31,54
31,13
31,57
31,20
31,76
31,104
31,58
31,121
31,47
31,136
31,24
31,16
31,64
31,180
31,114
31,200
31,81
31,6
31,26
31,93
31,137
31,61
31,77
31,196
31,102
31,25
31,115
31,190
32,32
32,31
32,27
32,12
32,29
32,20
32,104
32,14
32,54
32,85
32,102
32,78
32,77
32,4
32,196
32,58
32,73
32,142
33,33
33,174
33,175
33,172
33,10
34,34
34,31
34,35
34,27
34,12
34,29
34,38
34,41
34,43
34,104
34,4
34,5
34,25
34,78
34,114
34,14
34,20
34,24
34,180
34,136
34,54
34,64
34,81
34,85
34,13
34,108
34,122
34,190
34,57
34,73
34,49
34,89
