L,L
197,1
197,2
197,15
198,2
198,1
198,16
198,3
199,3
199,2
199,4
199,17
200,4
200,18
200,5
200,3
201,5
201,6
201,19
201,4
202,6
202,5
202,20
202,7
203,7
203,6
203,8
203,21
204,8
204,22
204,9
204,7
205,9
205,10
205,23
205,8
206,10
206,9
206,24
206,11
207,11
207,10
207,12
207,25
208,12
208,13
208,26
208,11
209,13
209,12
209,27
209,14
210,14
210,13
210,28
211,15
211,1
211,29
211,16
212,16
212,2
212,15
212,30
212,17
213,17
213,31
213,18
213,16
213,3
214,18
214,32
214,19
214,4
214,17
215,19
215,18
215,5
215,33
215,20
216,20
216,6
216,19
216,34
216,21
217,21
217,35
217,22
217,20
217,7
218,22
218,36
218,23
218,8
218,21
219,23
219,22
219,9
219,37
219,24
220,24
220,10
220,23
220,38
220,25
221,25
221,39
221,24
221,26
221,11
222,26
222,40
222,12
222,27
222,25
223,27
223,41
223,13
223,28
223,26
224,28
224,42
224,14
224,27
225,29
225,43
225,15
225,30
226,30
226,31
226,16
226,29
226,44
227,31
227,32
227,45
227,17
227,30
228,32
228,18
228,31
228,33
228,46
229,33
229,19
229,32
229,34
229,47
230,34
230,48
230,35
230,20
230,33
231,35
231,49
231,36
231,21
231,34
232,36
232,50
232,22
232,35
232,37
233,37
233,51
233,23
233,36
233,38
234,38
234,39
234,24
234,37
234,52
235,39
235,53
235,40
235,38
235,25
236,40
236,39
236,54
236,41
236,26
237,41
237,55
237,40
237,42
237,27
238,42
238,56
238,41
238,28
239,43
239,29
239,57
239,44
240,44
240,43
240,58
240,45
240,30
241,45
241,31
241,59
241,46
241,44
242,46
242,32
242,60
242,47
242,45
243,47
243,61
243,48
243,33
243,46
244,48
244,62
244,49
244,34
244,47
245,49
245,63
245,50
245,48
245,35
246,50
246,64
246,51
246,49
246,36
247,51
247,50
247,37
247,65
247,52
248,52
248,51
248,53
248,66
248,38
249,53
249,39
249,54
249,52
249,67
250,54
250,55
250,40
250,53
250,68
251,55
251,56
251,41
251,54
251,69
252,56
252,55
252,42
252,70
253,57
253,43
253,58
253,71
254,58
254,72
254,59
254,44
254,57
255,59
255,60
255,73
255,45
255,58
256,60
256,74
256,61
256,46
256,59
257,61
257,62
257,75
257,47
257,60
258,62
258,76
258,63
258,48
258,61
259,63
259,64
259,77
259,49
259,62
260,64
260,50
260,63
260,78
260,65
261,65
261,51
261,64
261,66
261,79
262,66
262,80
262,52
262,65
262,67
263,67
263,53
263,68
263,66
263,81
264,68
264,54
264,69
264,82
264,67
265,69
265,55
265,68
265,83
265,70
266,70
266,56
266,69
266,84
267,71
267,85
267,72
267,57
268,72
268,86
268,73
268,58
268,71
269,73
269,87
269,74
269,72
269,59
270,74
270,88
270,75
270,60
270,73
271,75
271,89
271,76
271,74
271,61
272,76
272,90
272,77
272,62
272,75
273,77
273,76
273,63
273,91
273,78
274,78
274,64
274,77
274,92
274,79
275,79
275,93
275,80
275,78
275,65
276,80
276,94
276,66
276,79
276,81
277,81
277,80
277,95
277,82
277,67
278,82
278,68
278,96
278,83
278,81
279,83
279,69
279,97
279,84
279,82
280,84
280,70
280,83
280,98
281,85
281,86
281,99
281,71
282,86
282,100
282,87
282,72
282,85
283,87
283,101
283,88
283,73
283,86
284,88
284,89
284,74
284,87
284,102
285,89
285,90
285,103
285,75
285,88
286,90
286,76
286,89
286,104
286,91
287,91
287,77
287,90
287,105
287,92
288,92
288,93
288,78
288,91
288,106
289,93
289,94
289,107
289,79
289,92
290,94
290,80
290,93
290,95
290,108
291,95
291,94
291,109
291,96
291,81
292,96
292,95
292,110
292,97
292,82
293,97
293,111
293,83
293,96
293,98
294,98
294,112
294,84
294,97
295,99
295,113
295,100
295,85
296,100
296,114
296,101
296,86
