R,dl
1,3
2,2
3,4
4,4
5,4
6,7
7,7
8,7
9,4
10,2
11,3
12,1
13,2
14,4
15,4
16,4
17,4
18,4
19,2
20,4
21,2
22,4
23,4
24,7
25,4
26,4
27,3
28,4
29,7
30,4
31,4
32,2
33,4
34,2
35,3
36,3
37,3
38,3
39,2
40,3
41,7
42,3
43,4
44,4
45,3
46,4
47,4
48,4
49,4
50,2
51,4
52,2
53,4
54,2
55,4
56,2
57,3
58,3
59,3
60,4
61,7
62,7
63,7
64,2
65,2
66,4
67,3
68,2
69,7
70,7
71,4
72,4
73,3
74,4
75,4
76,7
77,4
78,4
79,4
80,3
81,2
82,4
83,3
84,4
85,4
86,4
87,4
88,3
89,3
90,4
91,3
92,3
93,4
94,4
95,4
96,4
97,4
98,3
99,4
100,4
101,3
102,4
103,4
104,4
105,3
106,4
107,4
108,4
109,4
110,4
111,3
112,4
113,4
114,2
115,4
116,4
117,2
118,4
119,2
120,3
121,4
122,2
123,4
124,3
125,4
126,3
127,2
128,3
129,2
130,4
131,3
132,4
133,4
134,3
135,2
136,3
137,4
138,7
139,2
140,2
141,4
142,2
143,4
144,4
145,4
146,4
147,4
148,3
149,4
150,4
151,4
152,3
153,2
154,7
155,2
156,4
157,4
158,4
159,3
160,4
161,2
162,4
163,4
164,4
165,3
166,4
167,3
168,2
169,2
170,4
171,4
172,4
173,3
174,4
175,7
176,4
177,4
178,4
179,4
180,3
181,4
182,4
183,2
184,4
185,4
186,4
187,3
188,7
189,2
190,4
191,3
192,2
193,2
194,4
195,4
196,4
197,4
198,7
199,4
200,3
201,7
202,2
203,4
204,3
205,4
206,3
207,2
208,4
209,4
210,4
211,7
212,3
213,2
214,4
215,4
216,3
217,4
218,4
219,4
220,3
221,2
222,4
223,4
224,2
225,4
226,4
227,4
228,4
229,3
230,2
231,4
232,2
233,4
234,7
235,4
236,2
237,4
238,3
239,3
240,4
241,4
242,3
243,4
244,7
245,4
246,4
247,4
248,3
249,2
250,2
251,4
252,4
253,4
254,4
255,4
256,2
257,3
258,4
259,2
260,4
261,2
262,2
263,2
264,4
265,3
266,2
267,4
268,2
269,4
270,2
271,4
272,2
273,4
274,7
275,7
276,4
277,7
278,2
279,4
280,4
281,4
282,7
283,2
284,2
285,4
286,4
287,2
288,4
289,3
290,4
291,4
292,4
293,3
294,3
295,4
296,2
297,4
298,4
299,4
300,4
301,4
302,2
303,7
304,3
305,3
306,3
307,2
308,2
309,3
310,4
311,3
312,3
313,4
314,2
315,4
316,4
317,4
318,4
319,2
320,4
321,7
322,3
