R,L
1,1
1,6
1,7
1,29
1,35
1,24
1,36
1,38
2,2
2,35
3,3
4,4
5,5
6,6
6,1
6,7
6,24
6,29
6,21
6,35
6,38
7,7
7,1
7,6
7,24
7,27
7,29
7,35
7,37
7,36
8,8
8,24
9,9
10,10
10,35
11,11
11,24
12,12
13,13
13,35
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
21,6
22,22
23,23
24,24
24,1
24,6
24,7
24,8
24,11
24,35
24,38
25,25
26,26
27,27
27,7
27,35
28,28
29,29
29,1
29,6
29,7
30,30
31,31
32,32
33,33
34,34
35,35
35,1
35,2
35,13
35,6
35,7
35,10
35,36
35,38
35,27
35,24
36,36
36,1
36,7
36,35
37,37
37,7
38,38
38,1
38,6
38,24
38,35
39,39
40,40
