R,outdoors
1,4
2,11
3,11
4,4
5,3
6,3
7,5
8,2
9,4
10,11
11,6
12,5
13,5
14,3
15,4
16,3
17,5
18,2
19,2
20,3
21,3
22,11
23,2
24,2
25,3
26,2
27,2
28,5
29,6
30,3
31,5
32,4
33,3
34,5
35,11
36,3
37,11
38,11
39,4
40,11
41,5
42,2
43,11
44,6
45,5
46,3
47,11
48,11
49,2
50,11
51,6
52,11
53,11
54,4
55,5
56,11
57,11
58,4
59,3
60,5
61,4
62,4
63,3
64,2
65,3
66,2
67,4
68,6
69,4
70,5
71,5
72,4
73,2
74,4
75,11
76,4
77,4
78,3
79,2
80,2
81,3
82,3
83,3
84,4
85,11
86,2
87,2
88,11
89,11
90,11
91,11
92,4
93,4
94,3
95,4
96,11
97,2
98,2
99,2
100,5
101,3
102,6
103,4
104,2
105,11
106,3
107,11
108,5
109,11
110,11
111,4
112,3
113,11
114,11
115,2
116,11
117,4
118,2
119,4
120,6
121,3
122,4
123,3
124,4
125,2
126,11
127,5
128,4
129,4
130,11
131,4
132,2
133,4
134,4
135,3
136,3
137,2
138,11
139,2
140,11
141,11
142,2
143,11
144,3
145,11
146,4
147,4
148,4
149,2
150,11
151,4
152,2
153,2
154,2
155,3
156,4
157,5
158,4
159,4
160,11
161,3
162,5
163,5
164,3
165,11
166,3
167,5
168,5
169,5
170,6
171,6
172,11
173,11
174,11
175,4
176,3
177,11
178,4
179,4
180,11
181,5
182,4
183,3
184,4
185,2
186,2
187,5
188,2
189,11
190,2
191,6
192,4
193,2
194,4
195,5
196,3
197,3
198,5
199,11
200,6
201,3
202,3
203,2
204,3
205,6
206,6
207,2
208,2
209,2
210,1
211,4
212,3
213,5
214,3
215,11
216,3
217,2
218,2
219,11
220,4
221,2
222,3
223,11
224,2
225,5
226,3
227,4
228,2
229,3
230,2
231,5
232,5
233,2
234,6
235,6
236,2
237,4
238,2
239,6
240,11
241,6
242,2
243,6
244,3
245,2
246,4
247,4
248,11
249,6
250,2
251,11
252,6
253,6
254,4
255,6
256,6
257,2
258,5
259,2
260,11
261,2
262,3
263,2
264,11
265,3
266,4
267,2
268,3
269,4
270,3
271,2
272,6
273,4
274,6
275,6
276,2
277,6
278,11
279,3
280,2
281,5
282,2
283,3
284,4
285,4
286,2
287,2
288,2
289,5
